, Are there abandoned cars in the neighborhood? How many do you see? ,Are any commercial/residential buildings being renovated?,Are private security guards visible?,Census Tract,"Full Address of Block Face in Image #1 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.","Full Address of Block Face in Image #2 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.","Full Address of Block Face in Image #3 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.","Full Address of Block Face in Image #4 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.","Full Address of Block Face in Image #5 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Image #1,Image #1 coordinates,Image #2,Image #2 coordinates,Image #3,Image #3 coordinates,Image #4,Image #4 coordinates,Image #5,Image #5 coordinates,Is there a police officer visible? ,"Is there graffiti or evidence of graffiti that has been painted over on buildings, signs, or walls? (Questions 22-23)",Is there public transportation available in the block face? ,"On a scale of 1 - 4, where 1 is ""No fencing"" and 4 is ""High mesh fencing with barbed wire or spiked tops"", is there fencing and what kind? (includes all property)","On a scale of 1 - 4, where 1 is ""Very well kept / good condition"" and 4 is ""Poor / badly deteriorated condition"", in general, how would you rate the condition of buildings on the block face? (includes residential buildings, recreational facilities, manufacturing plants, business / industrial headquarters, etc)","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"",  how many cigarette or cigar butts or discarded cigarette packages  are on the sidewalk or in the gutters? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"",  how many condoms are present on the sidewalk, in the gutters, or street of block face? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"", how many empty beer or liquor bottles are visible in streets, yards, or alleys? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"", how much garbage, litter, or broken glass in the street or on the sidewalks? ","On a scale of 1-3, where 1 is ""Few or none"" and 3 is a ""Most/all of it"", how many trees are linking the street of the block face? ","On a scale of 1-5 where 1 is ""Friendly Responses / Greetings / Helpful"" and 5 is ""Treated with Suspicion"", How were you regarded by the people in the block face?",Other thoughts or comments for Image #1,Other thoughts or comments for Image #2,Other thoughts or comments for Image #3,Other thoughts or comments for Image #4,Other thoughts or comments for Image #5,Timestamp,Unnamed: 0,Unnamed: 0.1,What kinds of establishments are there on the block face? Select all that apply.
28,0.0,No,No,4030.0,"704 Broadway #202, Oakland, CA 94607","722 Broadway, Oakland, CA 94607","722 Broadway, Oakland, CA 94607","722 Broadway, Oakland, CA 94607",,https://drive.google.com/open?id=1gLgC1blg2mmd2TlkXl2yqZlI82u4OAKw,"(37.8004265, -122.270732)",https://drive.google.com/open?id=1iQADBebrWnJnPjqreCkAvY-44pKh1NTk,"[37.7997220929327, -122.274044720202]",https://drive.google.com/open?id=1IbzZwk_FrTXEMSSF94RWUHkGmOTj4BIN,"[37.7997220929327, -122.274044720202]",https://drive.google.com/open?id=1RB4cU3Egc-1r3TNJEZrSBV73Yi4aVFbH,"[37.7997220929327, -122.274044720202]",,,No,Yes,Yes,3.0,2.0,3.0,1.0,1.0,4.0,3.0,3.0,"Shows some signage, and the bus stop",Shows some of the trash that littered the sidewalk,"A mural that was not graffitied, despite graffiti covering most of the surfaces surrounding it.",Reveals the unkempt aesthetics of the area,,10/23/2018 12:01:35,,28.0,Professional offices (doctor dentist lawyer accountant real estate)
29,0.0,No,No,4033.0,"184 10th Street, Oakland, CA","184 10th Street, Oakland, CA","151 10th Street, Oakland, CA",,,https://drive.google.com/open?id=10h5F8Rmn-HMspaKNzuh96aJOX-6gTbPX,"[37.7985819897959, -122.265595163265]",https://drive.google.com/open?id=1BehxPU-JHqsN_z_toEQspI1SMh-P9ee5,"[37.7985819897959, -122.265595163265]",https://drive.google.com/open?id=1oBFqTypIjFOnzmzjDesdCXQtQTA48KTK,"[37.7984543673469, -122.265294122449]",,,,,No,No,No,3.0,3.0,5.0,1.0,1.0,1.0,1.0,4.0,"Although rare, people are smoking on the street.",There are some nice street paintings here.,"People nearby rely on Laundromat, which means most units nearby does not have in-unit laundry.",,,10/23/2018 12:22:15,,29.0,"Auto repair/auto body shop, Liquor stores or Marijuana Dispensaries"
30,0.0,No,No,4205.0,"1009 Kains Avenue, Albany, CA 94706","1017 Kains Avenue, Albany, CA 94706","1002 Kains Avenue, Albany, CA 94706",,,https://drive.google.com/open?id=1php9GYfSMr1BO2vbyeZ2LDPBjuZd18dR,"[37.8865010290456, -122.296696782563]",https://drive.google.com/open?id=1FhNSoFMeGjsGjQPIYsoe7bR8TNCG7fOr,"[37.8862900580912, -122.296627565127]",https://drive.google.com/open?id=1AXyK3s5QKdwgR0rOAHmYUHOrGvoGBFby,"[37.8866182457903, -122.296950730685]",,,,,No,No,No,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,This is one of the modern homes on the block. The front has a very modern and clean aesthetic and it is well kept. This home was the only house on this block with this type of style home. The rest of the homes on this block were also smaller and this home stood out to me. ,"This is an example of the apartment complexes on my block. The front area has vegetation and is maintained well with no garbage. The car in the front of the house is a Subaru, suggesting that these individuals can afford a good car.","This was the corner house on my residential block. There is no garbage or debris in the front of the house.  Also, the front lawn has roses, plants and a hose, suggesting that the occupants of this house take the time to garden. ",,,10/23/2018 13:57:52,,30.0,
31,0.0,No,No,4213.0,"1900 Hopkins St, Berkeley, CA, 94707","1198 Josephine St, Berkeley, CA, 94707","1900 Hopkins St, Berkeley, CA, 94707","1170 The Alameda, Berkeley, CA, 94707","1850 Sonoma Ave, Berkeley, CA, 94707",https://drive.google.com/open?id=1QodcBBMUydZI5dRD0UzeAuwFP9hzfSFP,"[37.885301, -122.274867]",https://drive.google.com/open?id=1a9nf_CNK7uqR6LnQAhzxf4vXS8GTLJuC,"[37.88527, -122.275803]",https://drive.google.com/open?id=1FbZvtFHzinHvy-DjAIdYCDnvTNkTisLb,"[37.885301, -122.274867]",https://drive.google.com/open?id=1lX7BJFAiIX_wSlzEfbBNr6Yi5xPfgTWV,"[37.8854336, -122.275411300825]",https://drive.google.com/open?id=1eNrpa8ejKJLi6r1AFnzXQtEKaWXtCWZ_,"[37.8850761, -122.2759111]",No,No,Yes,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,"My thoughts about this image was that the city made considerable efforts to maintain biking lanes and upkeep traffic control in regards to these lanes. This makes me think that the city puts an emphasis on more ecological means of transportation. They city is also likely able to do this because they have the funds for it, and considering that there are several markets, schools, and convenience stores in this residential area, everything residence need is within biking distance, which is probably why the city (as well as its residents who are involved in city management and likely want to use/advocate for these biking lanes) cares to even do this. Unfortunately, I do not see this often in poorer communities. ","In terms of image 2, we see this street sign is not like any other. It is made from stone with the street name engraved at the top under a statue of a sphere. This work of art, especially just for a street sign, is not common among impoverished neighborhoods, where street signs may not even be present. This street sign is symbolic of the wealth of the city and its citizens, denoting that they have the capital to build such an aesthetic monument for such an ""average"" object.  ","Across the street is a gas station, near the hub of the city. Unless most other gas stations in impoverished neighborhoods, this gas station is very well kept, not always super busy, and has seen some renovations in the past (I know because I used to stop there when I was younger). The business is obviously investing money into this specific station, likely to please their affluent customers/maintain the image of the area. The price of gas is fairly high. ","Next to the Public Library, there is a park consisting of a big grass field and trees. The area looks very well maintained (Thick bright green grass and green flourishing trees) as apposed to parks I have seen in the inner city that are mostly dirt and dark green weeds. I saw many children who seemed to be a part of the after school program playing in the park with some adults. I could tell the staff and volunteers are very involved in the programs, and that the library is thriving. The park, as well as the surrounding area, was clean of all trash, even loose leaves. ","One of the biggest observations to be made was of the housing. The houses were significantly well kept, in terms of the house itself and the gardening/driveways. These houses probably go for $700,000 and up. You could tell it was a wealthy community. I didn't see much people, but the area was only somewhat diverse. ",10/23/2018 14:50:52,,31.0,"Bodega deli corner-store convenience store, Fire station, Gas station, Parks, Public library, Schools or daycare centers"
32,0.0,Yes,No,4229.0,"2124 Bancroft Way, Berkeley, CA 94704","2321 Shattuck Ave, Berkeley, CA 94704","2333 Shattuck Ave, Berkeley, CA 94704","2113 Durant Ave, Berkeley, CA 94704",,https://drive.google.com/open?id=1tVppOOGOEsE1g4HdIP1Pzwhpw3UaS7od,"[37.867599, -122.267258]",https://drive.google.com/open?id=1nWmYxYWfOa1Y3vzjWTuDpBdvHDpN4FR3,"[37.8672231204434, -122.26772462002]",https://drive.google.com/open?id=1q_HUf7M-FsMB1jcryG8dt5tG3NrzI4QG,"[37.8670654391399, -122.267704217634]",https://drive.google.com/open?id=1x7pf31hzkbVIMfaPU_4i2tUI2uCvWwtA,"[37.8667518421053, -122.266783157895]",,,No,No,Yes,3.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,The construction unfortunately makes this block appear worse in quality that in reality. The sidewalk is blocked and the huge container both make the pedestrian experience disappointing.,I really appreciate the beautification efforts with the lights on these trees. It makes the place feel nicer.,This bank is very fortified. The entrance has a huge metal gate. It feels like a castle or a fortress of some sort. It was really awesome but also was indicative of serious levels of crime in the area.,At first I just thought this was a random pile of trash. I then realized that it was a pile of bags containing recyclables. Then I realized there was someone sleeping in the middle of it! That was the only homeless person I saw on the block.,,10/23/2018 14:59:13,,32.0,"Banks or credit unions, Bars and alcoholic beverage services, Eating places/restaurants"
33,1.0,Yes,No,4213.0,"870 Peralta Ave, Berkeley, CA 94707","1553 Solano Ave, Berkeley, CA 94707","863 Neilson St, Berkeley, CA, 94707","821 Neilson St, Berkeley, CA 94707",,https://drive.google.com/open?id=19U9lUCfaGNNuyAdwjPNFfeWDp0PZ7DIy,"[37.8917981116592, -122.285836396195]",https://drive.google.com/open?id=1bXr-gtAEGjbuc3MDnTpgCbkTSjOLJq5d,"[37.8910680772757, -122.285985259165]",https://drive.google.com/open?id=1GR42XI9XK9Uom02SKFaRMXSQ4nxVrErR,"[37.89163744244, -122.286513772363]",https://drive.google.com/open?id=1_1xD1wIidMcnPsGpolSAr6sqA4DpTRQ6,"[37.8923111704176, -122.286485365867]",,,Yes,No,Yes,2.0,3.0,4.0,1.0,1.0,2.0,2.0,4.0,"There were many cars parked on the block face but interestingly I did not see anyone walking on the street. I also found some cigarette butts, but I would say the street was relatively clean compared to other areas in Berkeley I have seen.","This picture is taken on one side of the block face, where there are business stores including a restaurant, clothing stores, digital printing service shop, etc. I noticed that there were only few people entering these stores while I was observing there, and the block face was really quiet overall. ","I noticed by walking into this street from the block face that has business stores, there were marijuana joint butts on the street but not on the street with business stores. Also, I saw some adults walking but not children on the street. ","The picture of Trump on the wall got my attention, so I was observing the area and people inside the house having a conversation. I noticed that they talked about politics and a very biased topic toward certain groups of people. ",,10/23/2018 15:15:07,,33.0,Eating places/restaurants
34,0.0,No,No,4202.0,"998 Ohlone Ave, Albany, CA 94706","301 Gooding Way Albany, CA 94706","900 Ohlone Ave Albany, CA 94706","Kinkead Way Albany, CA 94706","Jackson St Albany, CA 94706",https://drive.google.com/open?id=1nQcguvmxgmvKFYprt0KY64MrpwaxtKw4,"[37.885591, -122.300428]",https://drive.google.com/open?id=15RQLujLQvN2KVj8kBHrgKsznvg64nu8U,"[37.8844615, -122.3015535]",https://drive.google.com/open?id=1AVOQMTMdvoyoZarCG_mKiWtqExK1tU3n,"[37.8854398885486, -122.301077936104]",https://drive.google.com/open?id=142ReomPTn3NonWFSqPVpI3dreOlJXkvK,"[37.8841892, -122.3026891]",https://drive.google.com/open?id=1HXhCbdtmG7SNnEoM6pZdRSWn4d-t13HU,"[37.8835598, -122.2999737]",No,No,Yes,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0, Clean and light Traffic,Nice environment grass are green and fresh no trash on the side of street.,Parking area all cars nicely parked ,Garbage place doesn’t smell and overall looks clean! ,Bus stop for public transportation and also lost of parking spaces for residents and visitors,10/23/2018 15:27:46,,34.0,"Community center, Eating places/restaurants, Playgrounds"
35,0.0,No,No,4217.0,"1515 Shattuck Ave, Berkeley, CA 94704","2124 Vine St, Berkeley, CA 94704","1521 Walnut St, Berkeley, CA 94704","1517 Walnut St, Berkeley, CA 94704",,https://drive.google.com/open?id=1r8TCm6REYvC4ix1qOmWvN8T0qacTwWwf,"[37.8796544, -122.2690441]",https://drive.google.com/open?id=1GsFi0IGzjiFv8Cf5K852-9D2GeC_hJy1,"[37.8802403, -122.268318]",https://drive.google.com/open?id=10b9rtU10oUVzS0dPfE6u7T12IRQTHXJf,"[37.8798891426178, -122.26806357061]",https://drive.google.com/open?id=1onwIHB9SVdy_5j0jKxZE4KgNpbw2Qvkn,"[37.8799525350236, -122.26807026203]",,,No,No,Yes,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,"People at Cesar on Sunday afternoon. This area is well known as Gourmet Ghetto, filled with fine restaurants","A café on Walnut St, the opposite side of Shattuck Ave. People look very relaxing and enjoying the sunny weather.",Walnut street is composed with residential area providing stable and peaceful environment.,"ery well-shaped small gardens, different environment from the opposite of the block: Shattuck Ave",,10/23/2018 17:34:16,,35.0,"Bars and alcoholic beverage services, Chain retail stores, Eating places/restaurants, Post office, Professional offices (doctor dentist lawyer accountant real estate)"
36,1.0,No,No,4027.0,"1807 Martin Luther King Jr Way，Oakland, CA","635-689 19th St, Oakland, CA","1830 Castro Street, Oakland, CA ","1812 Castro Street, Oakland, CA ","1872 Martin Luther King Way, Oakland, CA 94612",https://drive.google.com/open?id=1iXvsdUDnilzhBtJfqu1LMzcyYRsGvj1u,"(37.8103872, -122.2769914)",https://drive.google.com/open?id=1UOnJ3_AsCX9-ZsSQQ3U87gue0uJa5Qdi,"(37.8103872, -122.2769914)",https://drive.google.com/open?id=1XEflpcGkc68B7GV6xBfTatQeD0Sm1wJ2,"[37.8096855714286, -122.275176816327]",https://drive.google.com/open?id=1EIngViE7vogbQ7BABmrZPjK7frrrU7Gy,"[37.8097704285714, -122.275119326531]",https://drive.google.com/open?id=1CJXta4sTTWirf8n3uM0VR8krNUgjdWH9,"(37.8103872, -122.2769914)",No,Yes,No,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,The paint on the house seems have peeled off. All the windows are closed and the garden was not taken care of. I assume it is an vacant house. ,"This is a broken car with no license plate, I assume it is abandoned. ",This is a 3 story apartment with parking space on its first floor. ,There are graffiti on the garbage bin and it is over filled. ,The church stands out from the average residential block. ,10/23/2018 18:08:22,,36.0,
37,0.0,No,No,4010.0,"1000 Market Street, Oakland, CA, 94608","1000 Market Street, Oakland, CA, 94608","1000 Market Street, Oakland, CA, 94608",,,https://drive.google.com/open?id=1fKx3SRxYpjrpTJi-P-AiiiHfXig_yjuj,"[37.8444441, -122.2751641]",https://drive.google.com/open?id=10BDJmOi4fqyID3ydi1kAoi0ySbkDcCCu,"[37.8444441, -122.2751641]",https://drive.google.com/open?id=1sKpDs3pRV0DPWz5dW2GHFXls_WG5H0sO,"[37.8444441, -122.2751641]",,,,,No,Yes,Yes,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,It would be easy to write a graffiti in the area because there were only a few people even during daytime.,I could see that people tend to speed up around the area because the view is open.,This was the only construction site I saw. I presume that there are not many newly made houses there.,,,10/23/2018 18:33:52,,37.0,
38,3.0,Yes,No,4005.0,576 63rd Street,594 63rd Street,6300 Shattuck Avenue,None,597 63rd street,https://drive.google.com/open?id=1DDDtscjIJAzPhKXm1oj_bIS7fZuw43mz,"(37.8485167, -122.2647445)",https://drive.google.com/open?id=1rKLK4SH6ojHfr7ZbCgrBGg1KyFzpEnAN,"(37.8485167, -122.2647445)",https://drive.google.com/open?id=1kfjLIhH05MW8NMJ8zbS5Id1vUcUCZHo9,"(37.8485167, -122.2647445)",https://drive.google.com/open?id=1eTUBgj_2ikM1LgclNIWx3oYzCLD4spAR,"[44.933143, 7.540121]",https://drive.google.com/open?id=1dPnXlOwIuICMos-hHT6z7dN6kLGwWx0d,"(37.8485167, -122.2647445)",No,No,No,1.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,Apartment Building #1,Apartment Building #2 ,Apartment Building #3 ,Neighborhood Watch,Car ,10/23/2018 19:53:32,,38.0,
39,0.0,Yes,No,4005.0,"544 63rd street, Oakland, CA, 94609","548 63rd street, Oakland, CA, 94609","569 63rd street, Oakland, CA, 94609",Image of a house on the block with one of the worst yards,,https://drive.google.com/open?id=1I7zmNvYLGJZGIRn3q-6Aklq_l6w7djkA,"[37.84904, -122.262864]",https://drive.google.com/open?id=1HlED1ZAhYuqfWBsjzYblO7NGGGWXHW9K,"[37.8490143422947, -122.263056605375]",https://drive.google.com/open?id=1qCOj5IPwkkTXl1z36B9TrELbPscmNN4R,"[37.8487297353552, -122.263930197679]",https://drive.google.com/open?id=1F9XJExLWX9A6lICjJlRQvkdNIp012fA1,"(37.8485167, -122.2647445)",,,No,No,No,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,Image of a house on the block with a young white couple walking in front of it,Image of a house on the block which is getting remodeled,Image of a house with an electric ramp for wheelchairs,"590 63rd street, Oakland, CA, 94609",,10/23/2018 20:00:48,,39.0,
40,0.0,No,No,4212.0,"2300 Marin Ave, Berkeley, CA 94708","900 Spruce St, Berkeley, CA 94707","898 Spruce St, Berkeley CA 94707","898 Spruce St, Berkeley CA 94707",,https://drive.google.com/open?id=1OaPDYtR341O-qLB8jV_ioZBVv1he0vrW,"[37.893145, -122.26755]",https://drive.google.com/open?id=103fJEc8pditvGzQp0_bQxk3eeVbGNS5s,"[37.8929323, -122.2677205]",https://drive.google.com/open?id=1_HVwGlGJ7RrQqt9kQm0Fz9IpY9PGGsR0,"[37.8931667, -122.2679442]",https://drive.google.com/open?id=10Xkvop1_rXurOhZQDntj0getznMKwh1Y,"[37.8931667, -122.2679442]",,,No,No,Yes,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,An image advertising a read-a-thon at the elementary school,"A home decorated for halloween, indicative of a family oriented neighborhood ",One of the few homes on the street that had a gate. ,The west side of the street did not have sidewalks or they were very narrow. ,,10/23/2018 20:19:22,,40.0,"Parks, Schools or daycare centers"
41,0.0,No,No,4027.0,"1505 West St Oakland, CA 94612","809 15th Street, Oakland, CA, 94607","809 15th Street, Oakland, CA, 94607","809 15th Street, Oakland, CA, 94607","820 15th St Oakland, CA 94607",https://drive.google.com/open?id=1LK3VZLQidNRh0bc_kUPdjsthDqdyk0lU,"[37.8084353566681, -122.279126934358]",https://drive.google.com/open?id=15WVRML96XtKK9qefzErX3Ua3cHRLv0mk,"[37.8085110007666, -122.279949391343]",https://drive.google.com/open?id=1wPA3wKkYaSEpkx3He8kA5pAzivzQEkH-,"[37.8085110007666, -122.279949391343]",https://drive.google.com/open?id=1IAvxxRNWv8aULx32VM4NpCA0UGfUzzYE,"[37.8085110007666, -122.279949391343]",https://drive.google.com/open?id=1PZRltjlxJ-aG3CR71qKEIchYL97JhGfX,"[37.8086238632237, -122.279769915955]",No,No,No,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,"A rather out of place building with “no parking” signs all along the garage, yet cars parked directly in front of it.",The residential housing which seems rather well maintained.,"A very small amount of litter present in the curb, but the sidewalks are clean. ",Roads in fair condition and trees growing on both sides of the road.,An apartment complex that seems to house around 10 people. ,10/23/2018 20:27:26,,41.0,
42,0.0,Yes,No,4010.0,"934 41st Street, Oakland, CA, 94608","989 41st Street, Oakland, CA, 94608","964 41st Street, Oakland, CA, 94608","1000 41st Street, Oakland, CA, 94608","1000 41st Street, Oakland, CA, 94608",https://drive.google.com/open?id=1kWLo95-m5LNP3irHiBf6WeNSawaHQa7t,"[37.8318057950396, -122.274715366617]",https://drive.google.com/open?id=1A1KX4dyxQcqProifhAbhpiiIwgWBvpmW,"[37.8318423813677, -122.276123575366]",https://drive.google.com/open?id=1c_wx90BcJHw_0ZOzIdGC1H08N7QMvuCB,"[37.8319139165447, -122.275436635432]",https://drive.google.com/open?id=1wv-Oa4jYHElOnZn4VpLs77R8ME5tuVEn,"[37.83232, -122.277337]",https://drive.google.com/open?id=1tvCdojCHMTjPcFBKO2tAd49RAVIFIMSi,"[37.83232, -122.277337]",No,No,No,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,"The street is filled with contrasts. Both old and new, well kept and not kept up at all. This image captures the occasional garbage on the road, but also small gardens that are maintained. Present in the picture is also a garbage can for organic waste, and as I walked past what appeared to be the owner of the house talked to the hired gardener. A street with litter, but some bushes perfectly cut. ","While the street was mostly quite clean, there were some empty vodka bottles. Not particularly good vodka either if you ask me. ",A lot of construction/rehabilitation of apartment buildings went on in the street.,"Some apartment buildings appeared very new, contrasting the more worn out ones with partial paint jobs and rusty fences. ",The building facing the modern apartment building. It houses a religious community.,10/23/2018 20:33:02,,42.0,Professional offices (doctor dentist lawyer accountant real estate)
43,0.0,No,Yes,4028.0,"550 Fox Courts South 18th Street, Oakland, CA, 94612","~ 552 18th Street, Oakland, CA, 94612","530 18th St, Oakland, CA, 94612","555 18 St, Oakland, CA 94612",,https://drive.google.com/open?id=1--X3IERLpsSLoOKXwH6vDUFPPzILB9Or,"(37.8087183, -122.2715003)",https://drive.google.com/open?id=1l6lbjtn3iVsK0lQ2_BCHr5xLtl2WZYkU,"[37.8097064, -122.2765137]",https://drive.google.com/open?id=17-R2qBqqNtOJb5Tr94K83fBin9J-pzWF,"[37.8079236744261, -122.271813402555]",https://drive.google.com/open?id=1vI8bKQyybYMLx2sYCxvMTAydZbeR_XF4,"(37.8087183, -122.2715003)",,,No,Yes,No,2.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,This picture is of the apartment complex on the street. It looked white new and was also the only place on the block were trees were observed. They’re quite a variety of tree heights.,"The picture is of the end of the apartment complex and a sign that says directs the public to a cafe within a small alleyway beside the building. The fence was the area I saw the most tagging and graffiti on. This picture specifically shows multiple stickers on the pole of the fence.
","This picture is of the other building on the street that was an art institute. It looked closed for the day and pretty empty. It was not in as good of a condition as the apartment complex was.
","This picture is of the large, open parking lot on the street. I believe it was public parking and that there was some sort of fee for using it.",,10/23/2018 20:39:12,,43.0,Eating places/restaurants
44,1.0,No,No,4010.0,"675 44th St, Oakland, CA","737 44th St, Oakland CA","729 44th St, Oakland, CA",,,https://drive.google.com/open?id=14Zi7pZYEeE5_-g-Lk2FoloPzgilLbWHg,"[37.8329722350701, -122.268710584414]",https://drive.google.com/open?id=1ZjK54G04TYE_4PVGBSsV8wOsRexw-TwA,"[37.8330790140785, -122.269399386702]",https://drive.google.com/open?id=1vjd6UN7ivaf__uQGAdtGt57WSuI_On5e,"[37.8330656179583, -122.26931044855]",,,,,No,No,No,2.0,2.0,3.0,1.0,2.0,3.0,2.0,5.0,"“Justice for Mike Brown” and “Justice for Eric Garner” posters hanging on the windows to demonstrate support for the injustices the community have faced in Oakland.
","An empty liquor bottle of E&J lying on the curb in Oakland. This was the only liquor bottle that was on the ground.
","One of the views of the street. Along this street, we can see houses, cars, “no parking” signs, trees, and “Black lives matter” posters.
",,,10/23/2018 20:42:19,,44.0,
45,0.0,No,No,4201.0,,,,,,https://drive.google.com/open?id=1Bk29OpfwsavlWOlSC0aEZKLprzz2yb7u,"(37.8947731, -122.2910214)",https://drive.google.com/open?id=1kPEBqDRijYVZcTubqp4jqKWvPPKRc3Fu,"(37.8947731, -122.2910214)",https://drive.google.com/open?id=1OdNRTRyx_VoDBIgGsWFxFrLJgxwa6uFX,"(37.8947731, -122.2910214)",https://drive.google.com/open?id=1L4A_JH9ISgrnfVgNcqUZ71sZB6m0i1F0,"(37.8947731, -122.2910214)",,,No,Yes,No,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,Some abandoned stuff plus a rental bike on the sidewalk.,Clean street with school in the background connected to the park.,Dry grass with mesh fencing around one yard and some graffiti on a stop sign.,Political sign on dry grass and graffiti on a stop sign on an otherwise clean street.,,10/23/2018 20:42:58,,45.0,"Community center, Playgrounds, Schools or daycare centers"
46,0.0,No,No,4206.0,N/A (Curtis St),"N/A (Curtis St) - Address of Marin Elementary is 1001 Santa Fe Ave, Albany, CA 94706",N/A (Curtis St),N/A (Curtis St),,https://drive.google.com/open?id=1zSkGA2hTxWqbOZlaOl0l7XPuwyAPymTx,"[40.850112, -73.08208]",https://drive.google.com/open?id=1FjRmhl_Lg9T4s7YkWk5cQ_0s-L1DR_iM,"(37.8870336, -122.2870621)",https://drive.google.com/open?id=1hrm5rYJp9D551-eWlPgGkLXc7uJDjCp8,"[40.850112, -73.08208]",https://drive.google.com/open?id=1h4bQqNf4Z60ybzGl_BN7ZbNu80quHqYO,"[40.850112, -73.08208]",,,No,No,No,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,House (among others) with Peggy McQuaid campaign yard sign.  ,Children playing at Marin Elementary during what is presumably recess.,A sidewalk rehab sign on the side of the street. ,A relatively large two-story house on the corner of the block. ,,10/23/2018 20:54:32,,46.0,Schools or daycare centers
47,0.0,No,No,4224.0,"Deleware Street, Berkeley, CA 94704","Deleware Street, Berkeley, CA 94704","Deleware Street, Berkeley, CA 94704",,,https://drive.google.com/open?id=1o13bUdAZt3k9FDtoO4o9BxlFFFKQxqI9,"(37.8752396, -122.2695878)",https://drive.google.com/open?id=1t8fA8ZU55Y0785PX6KaCPRgmhp0GlaHV,"(37.8752396, -122.2695878)",https://drive.google.com/open?id=1pCtK6f-woINMzJ_N9hcck0YOnRrEZkkI,"(37.8752396, -122.2695878)",https://drive.google.com/open?id=1zv__wMm6NWzVsyT2IG4B0tf17HmEAYMD,"(37.8752396, -122.2695878)",,,No,No,No,3.0,2.0,2.0,1.0,1.0,4.0,2.0,5.0,This was the only modern/nice house (to me) on the block which made it stand out a lot. ,"This board was interesting because you don't usually see things like this in neighborhoods. I thought it was cool that people living around here are able to post flyers about different things. This is a good way to announce things, but could also be bad because it could mean that these people don't talk or spread news in person. ","I chose to take a picture of this house because through the windows (although you may not be able to see in the picture) looked looked like there wasn't much in there. It didn't look abandoned, but also not like there is every day life in there. Also, the back yard of this house look boarded up. ","This park was directly behind the street I chose to observe. This park unlike the street, was full of homeless men. Most of which were African American and on Delaware there were only old white folks. ",,10/23/2018 21:11:05,,47.0,Parks
48,0.0,Yes,No,4202.0,,,,,,https://drive.google.com/open?id=1EaeU-2GqfIHWo7f7-FEw8K-ry-PYTFj6,"(37.8944611, -122.2974624)",https://drive.google.com/open?id=1oLYd7Jg5REz4PvkjwdSeP5Z9BmrL2ZJC,"(37.8944611, -122.2974624)",https://drive.google.com/open?id=1r9KEUfg-G1697NRm4g6A1XR0gsXXXiSz,"(37.8944611, -122.2974624)",https://drive.google.com/open?id=1FVAhRkwpgvi-Ow_X6LHS-5ShMF7sGV3M,"(37.8944611, -122.2974624)",,,No,No,No,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,,,,,,10/23/2018 21:13:32,,48.0,"Bodega deli corner-store convenience store, Eating places/restaurants"
