Timestamp,Census Tract,"On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"", how many empty beer or liquor bottles are visible in streets, yards, or alleys? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"",  how many cigarette or cigar butts or discarded cigarette packages  are on the sidewalk or in the gutters? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"",  how many condoms are present on the sidewalk, in the gutters, or street of block face? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"", how much garbage, litter, or broken glass in the street or on the sidewalks? ", Are there abandoned cars in the neighborhood? How many do you see? ,"On a scale of 1-5 where 1 is ""Friendly Responses / Greetings / Helpful"" and 5 is ""Treated with Suspicion"", How were you regarded by the people in the block face?","On a scale of 1 - 4, where 1 is ""Very well kept / good condition"" and 4 is ""Poor / badly deteriorated condition"", in general, how would you rate the condition of buildings on the block face? (includes residential buildings, recreational facilities, manufacturing plants, business / industrial headquarters, etc)","Is there graffiti or evidence of graffiti that has been painted over on buildings, signs, or walls? (Questions 22-23)","On a scale of 1 - 4, where 1 is ""No fencing"" and 4 is ""High mesh fencing with barbed wire or spiked tops"", is there fencing and what kind? (includes all property)",Are any commercial/residential buildings being renovated?,What kinds of establishments are there on the block face? Select all that apply.,"On a scale of 1-3, where 1 is ""Few or none"" and 3 is a ""Most/all of it"", how many trees are linking the street of the block face? ",Is there public transportation available in the block face? ,Are private security guards visible?,Is there a police officer visible? ,Image #1,"Full Address of Block Face in Image #1 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Other thoughts or comments for Image #1,Image #2,"Full Address of Block Face in Image #2 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Other thoughts or comments for Image #2,Image #3,"Full Address of Block Face in Image #3 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Other thoughts or comments for Image #3,Image #4,Other thoughts or comments for Image #4,"Full Address of Block Face in Image #4 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Image #5,"Full Address of Block Face in Image #5 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Other thoughts or comments for Image #5
10/27/2019 22:57:26,4206,1,1,1,1,0,3,2,No,1,No,"Community center, Professional offices (doctor dentist lawyer accountant real estate)",3,No,No,No,https://drive.google.com/open?id=1rS_y_VXbb_kjKVSaaXfhqZr8uiFk7GbU,"1313 Solano Ave, Albany, CA, 94706","The main focus of this photo depicts the roads and sidewalks. The pavement is smooth, lacking potholes and other random cavities. It is visible that there is debris by the curb but most of it includes leaves from the trees. The neighborhood seems well maintained other than some slight wild weeds springing up. ",https://drive.google.com/open?id=19jfmHBehUkpJxamb-KfKn8cqTTSRDwjC,"1319 Solano Ave, Albany, CA, 9470","In the cross section of Solano Avenue and Pomona Avenue, there were three institutions with the rest of Pomona Avenue as residential buildings. This church, amusingly named the Church on the Corner, is one of the institutions that sit on the cross section. It stands out quite a bit from the rest of the houses. I visited on a Sunday afternoon and I saw visitors of the church leaving. Other than that, I ran into very few people in the neighborhood. 
",https://drive.google.com/open?id=1UTcPQKtWPcmA0IM3XivuRWmjySRGnGQu,"851 Pomona Ave, Albany, CA, 94706","Although there is variety in the housing in terms of aesthetics, this photo illustrates the common set up of the housing in this neighborhood. It is a one or two story building with a parking spot. As seen in this photo, some of the lawns are not kept as grassy lawns. Additionally, there is quite a bit of wild grass growing springing throughout the neighborhood. ",https://drive.google.com/open?id=1XOmUz56Zcwy9Y7aze90pVJxX6YpDN3RH,"The houses are designed to have a lawn and a lot of greenery running down the path that lines the housing and street. This is an indication about the intended class of occupants in the past- perhaps, they were more wealthy. Cars are parked outside on the street and interestingly, there are quite a number of vans, which might hint at large families living in the vicinity. There were no homeless community members roaming around. In fact, the photos show that, at the time of my visit, the streets were quite empty!","1313 Solano Ave, Albany, CA, 94706",https://drive.google.com/open?id=1MnhXysFivp00Ee4kVY9GJjp4yjgMHZAa,"1313 Solano Ave, Albany, CA, 94706",(Same as #4)
10/28/2019 2:09:32,4005,1,1,1,1,0,1,4,No,2,No,Schools or daycare centers,3,Yes,No,No,https://drive.google.com/open?id=1oCzyg1Zu7XAwh2gR7vm3MJmT9cQbhOdO," 581 61st St, Oakland, CA, 94609",I took a picture of Sankofa Academy to show the exterior view of this school,https://drive.google.com/open?id=1oRoTrxE5KuXiHtHpPiGJ6wPj1SLeqLFu,"546 61st Street, Oakland, CA, 94609",This block was very quiet and empty,https://drive.google.com/open?id=1xDh-oo_-dZ5ft0JF1JfNV-87ou8bAp9g,"6103 61st St, Oakland, CA, 94609","Shattuck Av:61st St Oakland, CA 94609",https://drive.google.com/open?id=1K2NfJ2eElOSp44_YZS8SCL8ysyg9Jm3F,Could be a possible hazard for those walking along,"588 61st St, Oakland, CA, 94609",,,
10/28/2019 10:16:56,4201,1,1,1,1,0,2,1,Yes,3,Yes,"Parks, Schools or daycare centers",3,No,No,No,https://drive.google.com/open?id=1h_2I6FqDVOi6H0lNotkqwYVREEneu35Q,"1325 Thousand Oaks Boulevard, Albany, CA, 94706","The home pictured to the right above captures the well-maintained state of the households and sidewalks on the block. Across from the house is Albany High School, which is captured in the top left of the picture behind trees along the street side. Small bushes and plants flourish in the front yard. The home is occupied and in good condition, as indicated by the cleanliness of the house. The block is exposed to a pleasurable balance of shade and sunlight. The cars are also well-kept and cleaned. 

The state of the block in the picture above implies the neighborhood consists of families who are well off financially, socially, and culturally. The neighborhood also consists of respectful residents who are mindful of their space. The state of the picture also indicates the neighborhood is safe and calm. 
",https://drive.google.com/open?id=1cvg4-RhYfJUuxkCkEw3n_OrB71XSj5cT,"603 Key Route Boulevard, Albany, CA, 94706","The image above captures the gym of Albany High School, the outer field of the baseball diamond, buildings in construction, and a man in a blue t-shirt and grey shorts walking his dog. The school building is neat, clean, and free from graffiti or signs of aging. The field is a nice green, which indicates that it is being well kept. The field is fenced off by tall fences, and large trees line the sidewalk. 

The picture paints a fresh image of the block and indicates the neighborhood is a respectable space for its residents and visitors. The maintenance of the field and high school leaves a friendly impression. The neighborhood is also a welcoming place for residents and visitors to stroll and admire.
",https://drive.google.com/open?id=1AVZgtRHK49Z-DAW7VDRhPJWn1wkUYFsN,"1326 Thousand Oaks Boulevard, Albany, CA, 94706","The sidewalks along the street lining Memorial Park are more rugged and deformed, mostly due to tree growth. Also pictured in the farther distance are spectators observing the baseball game to the right and a man walking along the sidewalk wearing a black backpack. Cars are parked along the road, all of which are in great condition. The cars are neat modern models. 

The sidewalks are aged and deformed due to tree rooting, which poses hazards for pedestrians and also cause difficulty for bikers, skaters, and strollers. Though, residents appear unbothered by the deformed sidewalk. Aside from the sidewalk, the trees add a nice aesthetic to the old sidewalk. Most cars along the side of the road are SUVs and vans, which are used to hold sport equipment and supporting families for the baseball players on the field. There is little wear and tear on the sidewalks, fences, and cars in the image, so the area must not be a busy and bustling block nor is it a disrespected area. 
",https://drive.google.com/open?id=1Pd0Kjzaox-rx9x25_UrqSW3pkHXX_fy-,"A variety of large trees line the street side. A man in an olive t-shirt and grey shorts bikes down the street. In the background, two teams compete in a baseball match. Spectators, which are a mix of adults, teens, and children, fill the bleachers in the far distance.

Residents in the neighborhood are physically active. Teens engage in sports and adults engage in recreational activities such as biking. The neighborhood also creates a sense of community. As seen in the far distance and along the fence, families and residents take time to support the athletes. 
","1326 Thousand Oaks Boulevard, Albany, CA, 94706",https://drive.google.com/open?id=1tiGgNR1KhExQht-ps8UXyX86i4t_FQ0p,"1326 Thousand Oaks Boulevard, Albany, CA, 94706","The photo above captured the overall condition of the block studied. The street is smooth with only minor cracks (not visible in this photo). The cars are in great condition, the homes are well built and maintained, and there is little to no traffic. The block is filled with luscious trees and plants. The neighborhood is calm and free from trash, litter, or hazards. The block is child-friendly and is family oriented. The residents live across from a park and a high school, which is ideal for families with grade-school children. 

The road is well-maintained with minimal faults, which indicates that the neighborhood does not receive heavy amounts of traffic. The road is also small, which means smaller vehicles (no large trucks or other larger vehicles) are the main mode of travel through these parts. Small amounts of traffic also give children room to play safely under adult supervision. The sky is clear and the neighborhood is free of litter, which promotes a healthy environment for families to thrive.
"
10/28/2019 12:21:27,4212,1,1,1,1,0,2,2,No,2,No,Parks,3,No,No,No,https://drive.google.com/open?id=11CilkVZnwnL94WTISX00ATaCIwFTNlld,"86 San Mateo Rd, Berkeley, CA, 94707","While I was walking around, I saw these decorative lights hanging around the entrance to the home, and I thought it was unique and welcoming.",https://drive.google.com/open?id=1LGjkUePBD1Jr2QfCEDC0Frr0EkPiKZv1,"22 San Mateo Rd, Berkeley, CA, 94707",Almost all of the mailboxes on the street were open as seen in this picture; I’m not sure if this was because mail was stolen or simply because they don’t stay closed.,https://drive.google.com/open?id=1EiHaAX3vWPU1KOqD1oTQ_Q6dVcDas0XJ,"7 San Mateo Rd, Berkeley, CA, 94707","This is one of the paths that led from the block down to the main street behind it. This one seems more for walking use, but the others were not as nice.",https://drive.google.com/open?id=14HQOmPXWpiLeSqxLLwmIlFD0IkQsfszn,"I don’t fully understand what this sign means, but it was posted outside of what seemed to be an empty home and I found it interesting.","40 San Mateo Rd, Berkeley, CA, 94707",,,
10/28/2019 13:33:48,4217,1,1,1,1,0,1,1,No,1,No,N/A,2,No,No,No,https://drive.google.com/open?id=1LGZXAcKPW6zvLJHunVvcTnHUWMfJGPT6,"1510 Bonita Ave, Berkeley, CA, 94709","Nice houses, nice cars. Only visible damage from winds is that tree.",https://drive.google.com/open?id=17eJvAC3GpZVc4dkvCxfebcC5cCLP87Ya,"1520 Bonita Ave, Berkeley, CA, 94709",Only man-made damage visible on the block is the grafitti on the wood gate to the left.,https://drive.google.com/open?id=1oZAbPZq6T77yT96IAi1pn3oaZFv_zFsq,"1522 Bonita Ave, Berkeley, CA, 94709",no litter or trash on the street. ,https://drive.google.com/open?id=1fbY_Sqo_cWwbUnqqXNF7pvggOrEks_1h,One of the few residental duplexes on the block ,"1510 Bonita Ave, Berkeley, CA, 94709",https://drive.google.com/open?id=1RvkuvzQHWpKL95i5QNg6LbLkJb4MyuQh,"1530 Bonita Ave, Berkeley, CA, 94709","quiet street, nothing out of the ordinary"
10/28/2019 13:49:12,4224,1,1,1,3,0,3,4,No,2,No,"Parks, Playgrounds",3,No,No,No,https://drive.google.com/open?id=1C2rPGeppuQt73TWh7Qjhu_1NADc3es7O,"1945 Berkeley Way, Berkley, CA, 94704",It's a nice part of the block (apartments on the side) with a pride flag hanging of the balcony and lots of trees around. ,https://drive.google.com/open?id=1EAKM8U6XfX9D6JskIidF9nk1v__CTu5r,"1932 Hearst Avenue, Berkeley, CA, 94709","Another apartment complex on the block. Clean, nice and peaceful. ",https://drive.google.com/open?id=1tasltE7yn7GBZmOola0ed3gy1zYXuyr0,"1945 Berkeley Way, Berkeley, CA, 94704","Stand out where it doesn't have that much trees around it, but still a green area. Except for some trash that probably fell out and some glass on the street, there is no visible trash anywhere. ",https://drive.google.com/open?id=1uv8IndPz7Z6W_csNWtKRzQL_lfC8qw96,"No bars in front of door or widows. Over all, it seems like a safe neighborhood since people don't feel the need to secure their houses too much.","1903 Bonita Avenue, Berkeley, CA, 94704",https://drive.google.com/open?id=1pgB4L82H_KnkvLX8ztJchZrpv-NPrpSz,"1930 Hearst Avenue, Berkeley, CA, 94709","There were some fences that would give privacy and secure a little, but they weren't completely closed and you could see the door and openings to apartment complex or houses. "
10/28/2019 14:53:30,4027,1,1,1,1,1,2,2,Yes,3,No,"Parks, Schools or daycare centers",1,No,No,No,https://drive.google.com/open?id=1xyHvGEd1YFtMcAX9Gw2KIHIhS_NQnL6m,"771 18th St, Oakland, CA, 94612","This is the view of my block face, facing towards West. In the picture you can see the houses and the mostly empty street. The fence has mild tagging and isn’t a very tall fence (about 5ft). The street is near the freeway. The area across the neighborhood has high-rise buildings and an over-ramp near it. The cars are also regular cars. ",https://drive.google.com/open?id=1yD2hY4jfAx9EXilWlm2XvxR5UuLrVXFN,"1728 West St, Oakland, CA, 94612","Across my block face, there was a school named “Kipp Bridge Academy.” The fencing around the campus was taller than 6ft and also looked modern in comparison to the neighborhood. There was a sign near the school that was tagged with graffiti. The center of the street was a divider between the intersection of 18th and 17th Street. 
",https://drive.google.com/open?id=1-p17SH1aOvMGWoQE5_yOYQZt-UaFi2ZD,"781 18th St, Oakland, CA, 94612","This picture (above) highlights other observations. There is one luxurious car that is parked in the only handicap spot on the block. There is also black fencing surrounding the house, however it is not that tall. The houses are in great condition. ",,,,,,
10/28/2019 14:53:36,4214,1,1,1,1,0,4,2,No,2,No,N/A,3,No,No,No,https://drive.google.com/open?id=1Mcc4wbqnPpobD4LqvZq9WDfZqqzlRiqO,"952 Shattuck Ave, Berkeley, CA, 94707","Example of the parking violation, cars parked facing opposite directions.",https://drive.google.com/open?id=186hPDyGMIRmiBWvchCe89Jp98KnfAnTV,"927 Shattuck Ave, Berkeley, CA, 94707","Example of rundown house with very unkempt yard 
landscape.",https://drive.google.com/open?id=1KzOVakxzvDP5Rr28yhA98TplJwSMBkux,"935 Shattuck Ave, Berkeley, CA, 94707","Example of the unkempt yard landscape of nicer homes, homes seeming three stories.",https://drive.google.com/open?id=1TTVJ5i1WPEWaQVmEjzFhi1DsPufkmTwi,Example of the condition of the sidewalk (old and cracked),"959 Shattuck Ave, Berkeley, CA, 94707",,,
10/28/2019 15:47:24,4217,1,1,1,2,0,1,2,No,2,No,N/A,2,No,No,No,https://drive.google.com/open?id=1P141E98eKp0TkDm8gyjCJaPAxJpYNs_6,"1519 Oxford St, Berkeley, CA, 94709","Example of the single family homes, people seem
to be very invested in the landscaping on this
block.",https://drive.google.com/open?id=1HHL79dY057o2sxWPjHk6Nb-2D8t1pcvk,"1519 Oxford St, Berkeley, CA, 94709",Example of the investment in landscaping.,https://drive.google.com/open?id=15ornrfElVI6OlTyS459_XBZJ9ZLLtDNo,"1519 Oxford St, Berkeley, CA, 94709",The only litter that I found on the block.,,,,,,
10/28/2019 16:06:52,4030,2,3,1,4,0,3,3,Yes,2,No,"Auto repair/auto body shop, Eating places/restaurants, Professional offices (doctor dentist lawyer accountant real estate), Supermarkets/grocery stores",1,Yes,No,No,https://drive.google.com/open?id=1rF3gQhpfIwYBPmRUY_ejk30-JLv-5O9m,"1100 Franklin Street, Oakland, CA, 94607",Apartment/Hotel building that seems to be in pretty bad shape with graffiti tags and other maintenance problems.,https://drive.google.com/open?id=1MuVo0GjhxUfKnlpScm-iMk6eZ71gyb5i,"1108 Franklin Street, Oakland, CA, 94607",Chinese gift shop that also had highly tagged banners and windows. Also had metal grating along the front windows of the shop.,https://drive.google.com/open?id=1IVJNlCehRaiW3lfHl8fzjcOhjzJJHYvl,"1150 Franklin Street, Oakland, CA, 94607","Private lot that seems to connect to the Salvation Army whose main entrance is located on 379 12th St, Oakland, CA 94607.",https://drive.google.com/open?id=1XDqdEkFQQluOruh1LcxM9LN7uCtEnZwu,"A picture of some of the other graffiti tags on the street block with, some tagging on the other side of the apartment, and also on some of the restaurants and offices along the sidewalk as well. ","1116 Franklin Street, Oakland, CA, 94607",https://drive.google.com/open?id=1hVUU--pL0Q6Yimz0QjXhn2RB5obky-z0,"1111 Franklin Street, Oakland, CA, 94607",UC extension building for Regents. Seemed out of place on a street with such a decrepit looking other side.
10/28/2019 17:32:35,4235,1,1,1,2,0,2,1,No,2,Yes,N/A,3,No,No,No,https://drive.google.com/open?id=1SL_sK0HsuQsrI1-yINWRSkma4SO_q3ZO,"2600 Shattuck Ave, Berkeley, CA, 94704",This is an image of the gym/fitness building located at the cross section of Parker St. and Shattuck Ave.,https://drive.google.com/open?id=1059ppMHZ5bSczkJobcnwU_Sc5JK0X8_c,"2016 Parker St, Berkeley, CA, 94704",This is an image of a few of the houses on the block. It shows the average clean state of the houses on the block.,https://drive.google.com/open?id=1W0xGQpFJkAm3v9OQ3vE1WI5qP9QaYfy0,"2031 Parker Street, Berkeley, CA, 94704",This is a picture of a proposed project  sign that was located in the front of one of the houses on the block.,https://drive.google.com/open?id=1B5gz7sfIUtAADdbXAs5WXqXa8OvKGKmM,This is a picture of an abandoned shopping cart that was located on the sidewalk on the southern side of the block. ,"2014 Parker Street, Berkeley, CA, 94704",https://drive.google.com/open?id=1PyTT-3dewDGQ4NIbhJTVwpY9i0Ma5wKq,"2014 Parker Street, Berkeley, CA, 94704",This picture shows a few pieces of abandoned furniture which were located near the sidewalk on the block of Parker that I examined.
10/28/2019 17:39:40,4033,1,2,1,3,0,3,3,Yes,3,No,N/A,1,No,No,No,https://drive.google.com/open?id=1yELDmaeLRCicV3hOXmuEpSvSgzYbFH4C,"121 7th Street, Oakland, CA, 94607",There were some graffiti on the mail box.,https://drive.google.com/open?id=1Qtn8PXMapr4IoJ-Xndk7CCG0QHJgdVJI,"119 7th Street, Oakland, CA, 94607",Quite a lot of garbage on the street.,https://drive.google.com/open?id=1Mu1RQrVry-84-zK-vXOA2EH_LveSDxGn,"632 Madison Street, Oakland, CA, 94607","Most of the houses are installed with bars or fences, both around yards or on the windows.",,,,,,
10/28/2019 18:57:07,4033,2,1,1,2,0,3,2,Yes,1,No,"Bars and alcoholic beverage services, Eating places/restaurants",1,No,No,No,https://drive.google.com/open?id=1kaMj7N1sbD4547kjnzq0RMKbG-JIWAvb,"350 4th Street, Oakland, CA, 94607","This is a professionally painted mural on the wall of a local bar, next to a hazardous area.",https://drive.google.com/open?id=1PIBUeVCQxxaBpeUMUZtL0_LH0pUvrLAF,"150 4th Street, Oakland, CA, 94607",These are modern looking apartments in an industrial area filled with abandoned buildings.,https://drive.google.com/open?id=1C3u2oTI0i6d26-QuWDidptWO3CKOH0k1,"267 4th Street, Oakland, CA, 94607",This is an abandoned building that was possibly some type of warehouse. The tape on the inside of the windows seem to hint that some kind of renovation could be taking place.,https://drive.google.com/open?id=1tQqPKWr27U6oiLKGYowiEitDnyvU4p1m,"A nearby fenced lot labeled ""Hazardous Area"" sandwiched between a local bar and a small warehouse called ""Alameda County Weights & Measures.","350 4th Street, Oakland, CA, 94607",https://drive.google.com/open?id=1nxHCtfeb9pnzlFazdWvAu0OknNsqAa7C,"311 4th Street, Oakland, CA, 94607",This is tagging on a nearby painted fence surrounding an auto repair lot.
10/28/2019 19:47:09,4201,1,2,1,1,0,2,2,No,1,No,Supermarkets/grocery stores,3,Yes,No,No,https://drive.google.com/open?id=1OYVecARsinBOdmVTcnGgHIxj0bF6givH,," I took a picture of this to show the huge street trees on the block. I found it particularly interesting because they are so giant, unlike many street trees",https://drive.google.com/open?id=16CyN6gGdxNY8FB3Kk2I_H4Hc_h4M4rIv,,,https://drive.google.com/open?id=1-3KNvQ_TWIiYvxT68ARfZ1mcWNu8oWEr," 1604 Solano Ave, Albany, CA, 94707",Figure 3 This picture shows a very well maintained law office with  statue of a bike in front. I think this is interesting because it seemed like the only one on the block,https://drive.google.com/open?id=1l0A28B7lpMrthI-neVHhDI5OzZBiJZ0V,This is a picture of the cars and corner of the street which is relatively spaced out. Seems almost rural rather than urban.,,https://drive.google.com/open?id=1bhv4TEgycl5rWiL4CZ0fdar8VRbpUIHG,"1615 Solano Ave, Albany Ave, CA, 94707","this picture was demonstrating the demographic, there were alot of families walking around this area this was the 3rd stroller I saw."
10/28/2019 20:01:07,4206,1,1,1,1,0,3,1,No,1,No,Schools or daycare centers,2,Yes,No,No,https://drive.google.com/open?id=1Fb8mVl847dMWOlfF8qmGvfbc7Q1X3NjK,"1702 Sonoma Ave, Berkeley, CA, 94707","An original old age street sign made from stone. The street name is carved into the stone, and these pillars appear at every cross street. It signifies the long-lasting, multi-generational wealth that exists in this neighborhood.",https://drive.google.com/open?id=1QC92ijBcXHPQd5B_8ystaVzdBMUZ4iQv,"1000 Peralta Ave, Albany, CA, 94706",The neighborhood had an apparent bike lane that seemed recently painted. The high quality of the lining and overall existence points towards a community that encourages healthy living practices such as bike riding.,https://drive.google.com/open?id=1RUX8bRxJUhQuL3xP6Y2E7aIqOxz_0kyg,"1495 Sonoma Ave, Albany, CA, 94706",This elementary school was at the very end of Sonoma Ave at the cross-street of Curtis St. This proximity to an elementary school makes early education easily accessible to families as well as easier to be involved with school activities being for the close walking distance.,https://drive.google.com/open?id=1XnIqxsI8K0Ezm1mCOR5K-_y6akpBKclf,Solano Ave is on a hill giving a great view of the lower-level communities around. A house on a hill often increases the value of the property and the houses grew larger and nicer as you went up the hill.,"1699 Sonoma Ave, Albany, CA, 94707",https://drive.google.com/open?id=1RNJ63r8NZvk1WncP6fUcev_79IBi4ED1,,"A community sharing library contrasted with, the classic icon of Berkeley, the green compost bin. Both amenities alluding to community unity and environmental awareness."
10/28/2019 22:32:50,4235,1,2,1,2,0,3,2,No,2,No,N/A,3,No,No,No,https://drive.google.com/open?id=11dgN9kzJjOP1QMUf_s9P9vflRbPlYweq,"1907 Oregon Street, Berkeley, CA, 94703","The houses in the block were well-decorated, with plants lining the walkways to the house and well-lit front porches. The cars in front of the houses were SUVs, which were in good state. ",https://drive.google.com/open?id=1xVOtUrCOPEcH7oILdW9uEbDSj9vLSYf9,"1927 Oregon Street, Berkeley, CA, 94703","The houses had front porches that remained well-lit into the night. There were many tall trees that lined the streets. The cars were of Japanese makes, and were well-kept. In the left hand side of the photograph, there is a cart of rubbish into which the man was putting the cans and bottles collected. ",https://drive.google.com/open?id=13hYvYxUQRqICmYRnpWDmXZKTDjsstB8q,"1924 Oregon Street, Berkeley, CA, 94703","There were many recycling bins that lined the streets. These bins were spread out every 50 to 100 metres. There was very little rubbish that were thrown on the streets, with few cigarette buds, no needles nor condoms. ",https://drive.google.com/open?id=1Svszaaito43REn01cpa2bmBAdPLiG8US,"While there was no significant amount of litter on the floor, there was a box of shoes. The shoes were in relatively good state and arranged well. It is possible that these were meant for donation or collection. ","1939 Oregon Street, Berkeley, CA, 94703",https://drive.google.com/open?id=1XseBomY6gUcbb2K6yA5otoJYjnJqyl9R,"1900 Oregon Street, Berkeley, CA, 94703","There were not many posters on poles. The only three that were seen were for movers, a sale for plants and a Macbeth show in Berkeley (pictured). "
10/28/2019 23:35:20,4239.01,3,3,1,4,4,3,3,Yes,3,Yes,"Auto repair/auto body shop, Liquor stores or Marijuana Dispensaries",2,No,Yes,No,https://drive.google.com/open?id=1j5bXUK4uoIo2Yk7Us7K5g2Jf5K-97eOC,"3049 Shattuck Ave, Berkeley, CA, 94705",This picture stood out to me because it implied that there are car burglaries here. It might be a regular thing for the residence living on this block that they have to worry about. This crime also leads to a more reserved neighborhood environment.,https://drive.google.com/open?id=18ONOWDhAN2uFW65_ntE5b2IA0P2Il0x_,"3040 Shattuck Ave, Berkeley, CA, 94705","This is one of the houses that had a high fence. Although it seems like it has been broken down, making the property less valuable and possibly leaving it open for burglary.",https://drive.google.com/open?id=1Suw0twdr3_PMfZ6K9X6GXWfIXavwmiAw,"3058 Shattuck Ave, Berkeley, CA, 94705","This picture shows quite a few things. The store in front is a small business and has a roll down gate for closing time, also I assume that is a old auto body shop with what appears to be a few abandoned cars. I am not sure what this might imply but is it space that is not being utilized but instead adding to the neglected environment. Also there is a small construction zone that appears to just have started and with no workers around; it might be a long time construction.",https://drive.google.com/open?id=1g9JpmiEIL2_CEil9erfz0IwucHycI-tl,"This pole signifies that the community offers a lot of opportunities for fun hobbies. To me it seems a little weird to offer hip hop or improv classes in a neighborhood struggling to have basic resources, maybe this is a sign of a forthcoming form of gentrification.","3051 Shattuck Ave, Berkeley, CA, 94705",https://drive.google.com/open?id=1W7fRtzAS27jNVxbX6a3X8UAfvaY-wuAU,"3045 Shattuck Ave, Berkeley, CA, 94705",This shows very few trees on the sidewalks and not too big ones either. There is no grass but instead there are dead bushes. Unlike some white neighborhoods where there are groups that plant nice trees and other plants to make the street look very nice. This neighborhood does not have that kind of help.
10/29/2019 14:49:43,4010,1,1,1,1,0,2,1,No,1,No,"Fast food or take-out places, Liquor stores or Marijuana Dispensaries",1,Yes,No,No,https://drive.google.com/open?id=1v07l0amgq4JTCVuaWQhtLqtQHVh9hoR8,"4301 Market Street, Emeryville, CA, 94608",This was one of the only non-residential buildings.,https://drive.google.com/open?id=1G3J66tzRneLQtZZsSCkzcy1OkmePC_Hf,"4303 Market Street, Emeryville, CA, 94608",This was a very well maintained house that looks like its from the 1940s based on the stylistic design of the facade.,https://drive.google.com/open?id=1WGIfeZMbCGRUAZt5QjsDTAAASzlpT-hL,"4304 Market Street, Emeryville, CA, 94608","This was an average looking house on the street. There was no litter or damage, and it was very clean.",,,,,,
10/29/2019 18:35:47,4239.01,1,1,1,2,0,2,2,Yes,2,No,Liquor stores or Marijuana Dispensaries,2,Yes,No,No,https://drive.google.com/open?id=1o9njc8BhqcbSNKz68r6FY9cI0MEdNWRf,"2139 Essex Street, Berkeley, CA, 94704","This house, along with many of the other houses, is maintained really well and is in good condition. Additionally, the LGBT flag is hung from their house openly, which could imply that the residential area is generally more liberal and accepting.",https://drive.google.com/open?id=1RxhqHTXMwmsdRw25Ih3d4b-cYklfVWSA,"3021 Shattuck Avenue, Berkeley, CA, 94704","There were numerous signs about neighborhood crime watch and keeping out of private property. Most of the ones on private property did not have graffiti on it, but the signs on the main roads did.
",https://drive.google.com/open?id=1-R1xZyBkZ-RvWEZW0YM8RIULfveCtFlr,"2121 Essex Street, Berkeley, CA, 94704","Someone left out a pair of tennis shoes to dry in the sun in front of their house, which leads me to believe that the area is a safe area where thieves and stealing is not a big problem or concern.",,,,,,
10/29/2019 22:57:51,4028,1,1,1,2,0,3,1,Yes,2,No,"Eating places/restaurants, Parks, Schools or daycare centers",3,No,Yes,No,https://drive.google.com/open?id=1lKTcHwdA6X9Uplq8myZAS5Sfb8ns22Yp,"1900 Rashida Muhammad St, Oakland, CA, 94612 ","Children and teens playing in Henry J. Kaiser Memorial park against the backdrop of the surrounding apartment complex, The Uptown. The adolescents seemed comfortable interacting with the statues in the park, sitting on small benches next to famous figures, and one kid brushing the statue base with a leaf. ",https://drive.google.com/open?id=14mppHAnwjKmNdzMiClH4_JLgw-m7SE86,"500 William St, Oakland, CA, 94612",The inner block on Rashida Muhammad St. showing The Uptown complex. The man walking his dog next to the “Now Leasing” sign and the Lime scooter in the background show a changing neighborhood in the city of Oakland. ,https://drive.google.com/open?id=1nbYJtTbgF_sV8i9mgl9m8iGx67otaXho," 530 19th St, Oakland, CA, 94612","Walking along 19th St back to Rashida Muhammad St. next to the Memorial park, I noticed two Mercedes parked in a row, with a graffitied fence in the background. I wondered if the cars belonged to those who lived here, or were here to maybe meet up with a friend at an upscale restaurant nearby.",https://drive.google.com/open?id=1Q8lD5BQuc_e6w-LL_9S5Lni8i17AFfB3,"A photo of the Soiled Dove circus tent, coming November 2019. Still in the process of setting up, the empty tent enclosed in metal fencing displayed one of the many possible entertainment options afforded by uptown Oakland. ","1911 Telegraph Ave, Oakland, CA, 94612",,,
