Unnamed: 0.1,Timestamp,Census Tract,Amount of Visible Empty Liquor Bottles [Scale: 1 (None) to 5 (A Lot)],Amount of Visible Cigarette Debris [Scale: 1 (None) to 5 (A Lot)],Amount of Visible Condoms [Scale: 1 (None) to 5 (A Lot)],Amount of Visible Trash [Scale: 1 (None) to 5 (A Lot)], Are there abandoned cars in the neighborhood? How many do you see? ,Attitude of Residents [Scale: 1 (Friendly and Helpful) to 5 (Suspicious)],Condition of Buildings [Scale: 1 (Well Kept) to 4 (Poor)],"Is there graffiti or evidence of graffiti that has been painted over on buildings, signs, or walls? (Questions 22-23)",Presence of Fencing [Scale: 1 (No fencing) to 4 (High mesh with barbed wire or spiked tops)],Are any commercial/residential buildings being renovated?,What kinds of establishments are there on the block face? Select all that apply.,Amount of street linked with trees [Scale: 1 (None or Few) to 3 (Most or All)],Is there public transportation available in the block face? ,Are private security guards visible?,Is there a police officer visible? ,Image #1,"Full Address of Block Face in Image #1 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Image #3 coordinates,Image #4 coordinates,Image #5 coordinates
68,2018-10-24 09:25:35,4006.0,1.0,1.0,1.0,3.0,0.0,3.0,2.0,1,3.0,0,"Auto repair/auto body shop, Eating places/restaurants",2.0,1,0,0,https://drive.google.com/open?id=1qPP6Ttduoj3qvjEyN_GhI7qqNP8w3Ull,"598 55th St, Oakland, CA 94609","[37.8405252672661, -122.265005329979]","[37.840142244539, -122.264647177791]","[37.8405946530612, -122.264398867347]"
69,2018-10-24 00:22:47,4014.0,3.0,5.0,1.0,4.0,0.0,3.0,3.0,1,3.0,1,Supermarkets/grocery stores,3.0,0,0,0,https://drive.google.com/open?id=1iDPHq6xqG5escYQ0QOZmsDgD5nLuAeqp,"886, 32nd Street, Oakland, CA, 94612","[37.822157835833, -122.273964790305]","[37.8221174173169, -122.273706424571]",
70,2018-10-24 00:47:54,4201.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0,2.0,0,,3.0,0,0,0,https://drive.google.com/open?id=1Ga4BJ__iRaoEHAhKAiBviuZ_OvUDZiB4,"1330 Portland Ave, Albany, California, 94706","[37.8946516712088, -122.290819053875]","(37.8947731, -122.2910214)","(37.8947731, -122.2910214)"
71,2018-10-24 11:32:54,4028.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,1,1.0,0,"Eating places/restaurants, Parks",3.0,0,0,0,https://drive.google.com/open?id=1B8mgqgMr73TtNQf_E9JZ21noLNMPUQv7,"500 William Street, Oakland, CA 94612","[37.8092978, -122.2698631]","[37.809083, -122.269945]","[37.8091978, -122.2713988]"
72,2018-10-24 00:53:13,4224.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,0,2.0,1,"Eating places/restaurants, Fast food or take-out places, Parks",2.0,0,0,1,https://drive.google.com/open?id=18mZS7kS-3zPXC7NFhEfKzBXd2pOh2Zgj,"4224 Oxford st, Berkeley. CA 94704 ","[37.8706709, -122.2659557]","(37.8752396, -122.2695878)","[37.8706709, -122.2659557]"
73,2018-10-24 00:53:41,4204.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0,2.0,0,,3.0,1,0,0,https://drive.google.com/open?id=15D9ilPcDdOBpMqIy3erYm7tJWr5kHSn_,"944 Polk St, Albany, CA, 94706","[37.8885478935646, -122.303105265884]",,
74,2018-10-24 01:06:53,4205.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,2.0,1,"Community center, Eating places/restaurants, Fire station, Public library, Post office, Schools or daycare centers",3.0,1,0,0,https://drive.google.com/open?id=1SOC9Xl_OtGd7_NrzS8RB6RRuDhZd1P5r,"1212 Marin Ave, Albany, CA 94706","[37.8888377321918, -122.295648990273]","[37.8871797218604, -122.294627632217]","[37.8895069, -122.2849992]"
75,2018-10-24 09:08:59,4214.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0,1.0,0,,1.0,0,0,0,https://drive.google.com/open?id=1XS9dH-DeL1mEnoiI0V545pixRIVKgG2_,"1953 Hopkins St, Berkeley, CA 94707","[37.8871652265574, -122.274514425632]","[37.8873129368372, -122.274345773441]",
76,2018-10-24 01:03:26,4202.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0,1.0,0,,2.0,0,0,0,https://drive.google.com/open?id=1u1RtxQqTYtQuulY3zt4mHKlb1dCNfXyi,"712 Kains Ave, Albany, CA 94706","(37.8944611, -122.2974624)",,
77,2018-10-24 01:41:32,4201.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1,2.0,1,"Parks, Playgrounds, Schools or daycare centers",3.0,0,0,0,https://drive.google.com/open?id=1Z-oucLPwuNFEBHzbXqnT1E07MbZDRVii,"1325 Portland Ave, Albany, CA 94706","[37.89559215, -122.290822536266]","[37.8948849185349, -122.290664283144]","[37.8956399683506, -122.289902173869]"
78,2018-10-24 01:55:42,4033.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1,3.0,0,Public library,3.0,0,1,1,https://drive.google.com/open?id=1YCotpid0nJPa_yKKM3TDyz-QD6xlwAmj,"125 12th St #100, Oakland, CA 94607","[37.7996107340353, -122.266013196111]","[37.7996468, -122.264907171602]","[37.80032985, -122.26421478573]"
79,2018-10-24 01:56:33,4239.01,1.0,2.0,1.0,1.0,3.0,3.0,2.0,1,1.0,0,"Manufacturing, Supermarkets/grocery stores, Warehouses",3.0,0,0,0,https://drive.google.com/open?id=1bHvBIKhKD_Mswqs6VabNk4aKXcqMmiCX,"2034 Essex St., Berkeley, CA, 94703","[37.8536873144386, -122.268067215455]","[37.8535654881875, -122.267735893164]","[37.8535654881875, -122.267735893164]"
80,2018-10-24 02:10:54,4006.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,0,2.0,0,,2.0,0,0,0,https://drive.google.com/open?id=1yFzMJCILceWzPZUSV7x-yZdzcYCfPQCn,"673 57th Street, Oakland, CA, 94609","[37.842535567487, -122.266265340517]",,
81,2018-10-24 02:15:37,4031.0,2.0,4.0,3.0,4.0,0.0,4.0,3.0,1,1.0,0,"Eating places/restaurants, Parks, Playgrounds",2.0,0,0,1,https://drive.google.com/open?id=15H6hm3J3Bq_p0L952jCWQ4rrk3UPt8bT," 555 12th St Oakland, CA 94607 ","[37.802441, -122.277004]","[37.803053, -122.276381]","[37.8034640485874, -122.275805034285]"
82,2018-10-24 02:19:50,4212.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1,1.0,0,,3.0,0,0,0,https://drive.google.com/open?id=1tneWrhaL777hEhPE_n1cgkrp1r2N7_mY,"801 Shattuck Avenue, Berkeley, CA","[37.8904021539773, -122.269542775869]",,
83,2018-10-24 02:32:08,4202.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,1,2.0,0,"Auto repair/auto body shop, Eating places/restaurants",2.0,0,0,0,https://drive.google.com/open?id=1O3nd_wcxr9LY5Q0xeocxBn-HJn-E4kxi,"1114 Brighton Ave, Albany, CA 94706","[37.8961913, -122.3010785]",,
84,2018-10-24 07:58:51,4203.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0,1.0,0,,1.0,0,0,0,https://drive.google.com/open?id=1AzgKsVPZu8ZeB5inj_eT0ZC75Eg9amtw,"CLay St, Albany, CA, 94706","[37.8835598, -122.2999737]",,
85,2018-10-24 08:20:12,4213.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0,1.0,0,,3.0,1,0,0,https://drive.google.com/open?id=1xNVJ8w1WXRaVunhCJ6OcsKOS_304wmiZ,"1727 Sonoma Ave Berkeley, CA 94707","[37.8860642045267, -122.283452068097]",,
86,2018-10-24 08:40:16,4203.0,1.0,3.0,1.0,2.0,0.0,3.0,1.0,0,2.0,1,"Community center, Eating places/restaurants, Schools or daycare centers",3.0,1,0,0,https://drive.google.com/open?id=1qeRKijHF_BHFDFYP7Q-cLeRz4odTobvF,1216 Solano Ave,"(37.8906102, -122.3182668)",,
87,2018-10-24 08:55:10,4027.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1,3.0,1,"Bars and alcoholic beverage services, Community center, Fast food or take-out places, Gas station, Liquor stores or Marijuana Dispensaries, Parks, Playgrounds, Schools or daycare centers",2.0,1,0,1,https://drive.google.com/open?id=1TE-3Sgdjei-7vIcJURmyTTXfVN9pv3YX,"17th and West st. Oakland Ca, 94607","[37.8114162258713, -122.279555616207]","[37.8114033469388, -122.279952326531]","[37.811043, -122.280172936693]"
88,2018-10-24 09:46:58,4007.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0,2.0,0,,2.0,0,0,0,https://drive.google.com/open?id=1d8wgOLchaunxxQzyq64O71MIkw_5Gtdv,"882 61st St, Oakland, CA, 94609","[37.8456908333333, -122.274000333333]","(37.8417578, -122.2723135)",
89,2018-10-24 09:50:25,4224.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0,1.0,0,"Auto repair/auto body shop, Schools or daycare centers",2.0,0,0,0,https://drive.google.com/open?id=1L2JxhMfmUqHdCql4cAvrBlpOkTV2Bnly,"2015 Francisco St Berkeley CA, 94709","[37.8753467, -122.269145]",,
90,2018-10-24 10:29:46,4201.0,1.0,2.0,1.0,2.0,0.0,5.0,2.0,0,1.0,0,,1.0,0,0,0,https://drive.google.com/open?id=13sbJ9yBiAaxekgE7u1cnYY-YDfVRsXUp,"N/A, because it is a picture of a car","[37.8962868364934, -122.289001501856]","[37.8959911166593, -122.28901627086]",
91,2018-10-24 10:34:46,4033.0,1.0,5.0,1.0,2.0,0.0,1.0,3.0,1,2.0,0,"Bodega deli corner-store convenience store, Eating places/restaurants, Fast food or take-out places, Parks, Playgrounds, Schools or daycare centers, Supermarkets/grocery stores",1.0,1,0,1,https://drive.google.com/open?id=1wu7NNC9mUvfpBW2rEnsCI9uFcPx7AGb_,241 Tenth St. Oakland Ca 94607,"[37.7992532431027, -122.268554887508]",,
92,2018-10-24 10:58:26,4006.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1,2.0,0,,3.0,1,0,0,https://drive.google.com/open?id=1_xDMmGX7lqyJAKQDeGZ5R6Gee95J61tz,"549 57th St, Oakland CA,  94609.","[37.843181738932, -122.267549148273]","[37.843367146913, -122.266087005167]",
93,2018-10-24 11:02:57,4213.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0,2.0,0,,3.0,0,0,0,https://drive.google.com/open?id=1PUmgPqIRp5hkUsdw2ya4nOO-oZoQ-Bk9,"930 Colusa Street, Berkeley, CA, 94707","[37.890694640209, -122.279269108562]",,
94,2018-10-24 11:03:10,4217.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,0,1.0,0,"Banks or credit unions, Bars and alcoholic beverage services, Eating places/restaurants, Post office, Professional offices (doctor dentist lawyer accountant real estate), Supermarkets/grocery stores",3.0,1,1,0,https://drive.google.com/open?id=1yQhrPSWofVIKlf2_fI4d9upX4q8cyYqh,"1550 Shattuck Ave, Berkeley, CA 94709","[37.8787966326576, -122.269002779794]","[37.8799788, -122.2690696]","[37.876551, -122.2688407]"
95,2018-10-24 11:05:31,4206.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0,1.0,0,Professional offices (doctor dentist lawyer accountant real estate),3.0,0,0,0,https://drive.google.com/open?id=1FPhYomKqIaMEEZ9e3HvWVbei8YFmW90K,"918 Ordway Street, Albany, CA, 94706.","[37.890898, -122.284592]","[37.8906139369315, -122.284564464658]","[37.8867565, -122.2845162]"
96,2018-10-24 11:06:57,4033.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1,2.0,0,"Professional offices (doctor dentist lawyer accountant real estate), Schools or daycare centers, Supermarkets/grocery stores",2.0,0,0,0,https://drive.google.com/open?id=1DfiSpLP9MDH3eEpqsr2Jy4uHgt6hG_iW,"211 10th st. Oakland, Ca 94607","[37.8004583239763, -122.268145735173]",,
97,2018-10-24 11:27:42,4203.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1,2.0,0,,2.0,0,0,1,https://drive.google.com/open?id=17DDH-Ek2LpMjQ2o1a88sKkLNhZPdXUD8,"1021 Solano Ave # A, Albany, CA 94706","[37.891801, -122.301479]",,
98,2018-10-24 11:20:45,4217.0,1.0,1.0,1.0,3.0,0.0,2.0,2.0,1,2.0,1,,3.0,1,0,0,https://drive.google.com/open?id=1M94r_n7B_1cgDkzNLKaHA0--TU1fP8Dv,"Oxford Street, 1550 block (exact address not visible), Berkeley, CA 94704","[37.8799973, -122.2684084]",,
99,2018-10-24 11:23:47,4235.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,1,1.0,0,"Eating places/restaurants, Supermarkets/grocery stores",2.0,0,0,0,https://drive.google.com/open?id=1_12eB9jRHRTH2p4804flAeigt3JsHS0M,"2787 Shattuck Ave, Berkeley, CA 94705","(37.859365, -122.2680467)","(37.859365, -122.2680467)","[37.858647, -122.266746]"
100,2018-10-24 11:24:40,4007.0,4.0,4.0,1.0,4.0,0.0,4.0,3.0,1,2.0,1,"Fast food or take-out places, Manufacturing",1.0,0,0,0,https://drive.google.com/open?id=1qlJibnA1VwPO9u-jhCV7cf83Umh5gzHd,"940 Arlington Ave. Oakland, CA 94608","[37.8423242, -122.2746747]","[37.842359105429, -122.275340369685]","[37.8422016598851, -122.275237532517]"
101,2018-10-24 11:24:31,4007.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1,1.0,1,"Auto repair/auto body shop, Bars and alcoholic beverage services, Eating places/restaurants, Professional offices (doctor dentist lawyer accountant real estate)",2.0,1,0,0,https://drive.google.com/open?id=1g1dNI9SUPo5Sh2vCY2vGZ7pRrhBOsM_7,Ace Hardware,"(37.8417578, -122.2723135)","(37.8417578, -122.2723135)","(37.8417578, -122.2723135)"
102,2018-10-24 11:32:03,4202.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0,1.0,0,Eating places/restaurants,2.0,0,0,0,https://drive.google.com/open?id=1XlyLX7NNABUdK5SEypqc3vpAV5m3Jem0,"1115 Solano Ave, Albany, CA 94706","[37.8840233, -122.2959524]",,
103,2018-10-24 11:38:30,4212.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0,3.0,0,,2.0,0,0,0,https://drive.google.com/open?id=1qvYxYQBeoTlNHGepfwjlIvA1YQyjv_SE," Southhampton Avenue, Berkeley, CA,94707","(37.8975481, -122.2752271)","(37.8975481, -122.2752271)",
104,2018-10-24 11:39:04,4006.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,0,2.0,0,"Community center, Playgrounds, Professional offices (doctor dentist lawyer accountant real estate), Schools or daycare centers, Supermarkets/grocery stores",1.0,1,0,0,https://drive.google.com/open?id=1y5fwFvrPtrFaXCFPe3NHh3joKFljDaGH,"560 59th Street, Oakland, CA 94609","[37.8471184, -122.2622272]","[37.8434215, -122.2661891]",
105,2018-10-24 11:47:43,4205.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,0,1.0,0,"Community center, Eating places/restaurants",2.0,0,0,0,https://drive.google.com/open?id=1dq18w8h9qRduQXicj1aZl2zN359mX0Bv,"943 Kains Ave, Albany, CA 94706","[37.8895108746585, -122.297661735758]",,
106,2018-10-24 11:49:08,4005.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,0,2.0,1,,3.0,0,0,0,https://drive.google.com/open?id=1Qga-hTv6xAlZSKKy3dafyHUBsXLvHQxd,"659 Fairview Street, Berkeley, CA",,,
107,2018-10-24 11:51:33,4203.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0,2.0,0,,1.0,0,0,0,https://drive.google.com/open?id=12Mpzyoa8V1IgfIsA_n878f1CHuy7LrlW,"630 Madison Street, Albany, CA, 97706","(37.8906102, -122.3182668)","(37.8906102, -122.3182668)",
108,2018-10-24 12:02:53,4027.0,1.0,2.0,1.0,2.0,0.0,3.0,2.0,0,2.0,0,"Fire station, Gas station",2.0,0,0,0,https://drive.google.com/open?id=1T2sFPqthQjwlskWaqkI3STM3VA1KfI1b,,"(37.8103872, -122.2769914)",,
109,2018-10-24 12:05:05,4031.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1,1.0,1,"Bars and alcoholic beverage services, Eating places/restaurants",1.0,1,0,0,https://drive.google.com/open?id=169dySz-Ki-y8VBg7NH8SLWTrYMojFiHu,"445 7th St Oakland, CA 94607","[37.800381, -122.273888]",,
110,2018-10-24 12:05:41,4202.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1.0,0,Post office,3.0,1,0,0,https://drive.google.com/open?id=1PPHqCI0glQZvDifeNUHRxUoFhp7kNSvz,,"(37.8944611, -122.2974624)","(37.8944611, -122.2974624)",
111,2018-10-24 12:11:54,4028.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0,1.0,1,"Bars and alcoholic beverage services, Bodega deli corner-store convenience store, Eating places/restaurants",1.0,1,0,0,https://drive.google.com/open?id=1RtOKabSQ-TG3XK9-Swxd1wPvqb_pud_j,unknown,"[37.8071483572569, -122.270352740098]","(37.8087183, -122.2715003)","[37.8070490762133, -122.270165182373]"
112,2018-10-24 12:28:10,4206.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,0,1.0,0,,3.0,0,0,0,https://drive.google.com/open?id=1nXZ5szndwmOY0nko4DR3Hm4ogAT1V0dh,"1116 Ordway Street, Berkeley, CA, 94720","[37.8831908236322, -122.285883226416]","[37.8832855909071, -122.285625424398]",
113,2018-10-24 12:30:08,4006.0,2.0,3.0,1.0,3.0,0.0,2.0,2.0,1,2.0,0,Liquor stores or Marijuana Dispensaries,3.0,1,0,1,https://drive.google.com/open?id=1ZM3g0majDQp9wbBHW6KsoUCrU3P27KNb,"579 Aileen St, Oakland, California, 94609.","[37.841844, -122.264586857143]",,
114,2018-10-24 12:38:50,4010.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1,1.0,1,Liquor stores or Marijuana Dispensaries,3.0,1,0,0,https://drive.google.com/open?id=1CP2wwCu4-1Rs_APa40PM4a5y-MT809PS,"Street Face of 45th Street at Intersection with Martin Luther King Jr. Way, Oakland, CA, 94609","(37.831217, -122.2719625)","[37.833086784396, -122.268385406347]","(37.831217, -122.2719625)"
115,2018-10-24 12:45:11,4217.0,1.0,3.0,1.0,2.0,0.0,3.0,2.0,1,2.0,0,"Eating places/restaurants, Professional offices (doctor dentist lawyer accountant real estate), Supermarkets/grocery stores",2.0,0,0,0,https://drive.google.com/open?id=1jG8MvM16aC5nLMhVf8iYMHOV8i6NfK-F," 1600 Shattuck Ave #112, Berkeley, CA 94709","[37.8788525, -122.269976578391]","[37.8781893, -122.2701935]","[37.8781878, -122.2702135]"
116,2018-10-24 12:49:48,4205.0,1.0,4.0,1.0,3.0,0.0,3.0,3.0,0,2.0,1,,3.0,1,0,0,https://drive.google.com/open?id=1UEVRjIEwAHlMjBpMhMDmCjyJhbfZE7xn,"1064 Stannage Ave, Albany, CA, 94706 ","[37.8855068367347, -122.295483734694]","(37.8867059, -122.2950048)",
117,2018-10-24 13:13:13,4224.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0,3.0,0,,3.0,1,0,0,,"1624 Milvia St, Berkeley, CA 94709",,,
118,2018-10-24 15:45:29,4212.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0,2.0,1,,3.0,0,0,0,https://drive.google.com/open?id=1i2BJTG_nSCmbgjJ9UqiW18wsRMg5qTyY,"906 Contra Costa Ave, Berkeley, CA 94707","[37.8926016986437, -122.276311105022]","[37.8927140102342, -122.276305174377]","[37.8931238634588, -122.276437990487]"
119,2018-10-24 14:33:21,4235.0,2.0,3.0,1.0,3.0,0.0,2.0,2.0,1,2.0,0,"Auto repair/auto body shop, Community center",3.0,1,0,0,https://drive.google.com/open?id=1jqRStmqD1nKUpL1e6TvLHyDzoca5BeJ_,"2623 Shattuck Ave. Berkeley, CA, 94704","[37.8729527, -122.2684812]",,
120,2018-10-24 14:52:09,4014.0,2.0,4.0,1.0,3.0,2.0,1.0,3.0,1,3.0,0,"Liquor stores or Marijuana Dispensaries, Schools or daycare centers, Supermarkets/grocery stores, Warehouses",2.0,1,0,0,https://drive.google.com/open?id=1rBvQ1k3BB66cOWf5acRJiQCCHaHhyVHx,"888 Brockhurst St, Oakland, CA, 94608","[37.8232458676453, -122.27539074172]","(37.8207387, -122.2733758)",
121,2018-10-24 15:26:58,4214.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,0,4.0,1,Professional offices (doctor dentist lawyer accountant real estate),2.0,1,0,0,https://drive.google.com/open?id=1Zg24LYcKo_Oif1xw0vuHvronhD3EL9O3," 1989 El Dorado Ave, Berkeley, CA 94707","[37.8880229582047, -122.273002542938]","(37.8883409, -122.270922)","[37.8880229582047, -122.273002542938]"
122,2018-10-24 15:27:40,4239.01,1.0,2.0,1.0,2.0,0.0,1.0,3.0,1,1.0,0,Auto repair/auto body shop,2.0,0,0,0,https://drive.google.com/open?id=1m0Mw0aJqiaYcu1z4PTZZl9clxWPy0qNb,,"(37.8523001, -122.2675177)","(37.8523001, -122.2675177)",
123,2018-10-24 15:52:02,4213.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1,1.0,0,"Banks or credit unions, Eating places/restaurants, Gas station, Supermarkets/grocery stores",2.0,1,0,0,https://drive.google.com/open?id=1zyuIk1DAjFQimgEfdR0kjRGCIwsfTFSY,"1850 Solano Ave, Berkeley, CA 94707","[37.8914456137594, -122.27910524919]","[37.8912585, -122.279519]","[37.891406, -122.279754]"
124,2018-10-24 16:37:53,4030.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1.0,1,"Banks or credit unions, Community center, Eating places/restaurants, Schools or daycare centers",3.0,0,1,0,https://drive.google.com/open?id=1WzazmrGzkCltozQkRcFsNfo_3-QmmQLT,"1000 Broadway #160, Oakland, CA 94607","[37.8017983, -122.2724448]","[37.8017983, -122.2724448]","(37.8004265, -122.270732)"
125,2018-10-24 16:57:59,4214.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1.0,1,,3.0,0,0,0,https://drive.google.com/open?id=1cEFgaz46utSG-uFBaopTzhKRI1Fs93jh,"1042 Oxford st Berkeley, CA  94707","[37.8904308, -122.2747164]",,
126,2018-10-24 17:20:33,4014.0,1.0,2.0,1.0,4.0,0.0,3.0,2.0,1,3.0,0,"Auto repair/auto body shop, Manufacturing",2.0,1,0,0,https://drive.google.com/open?id=1JM_RRMHPo4GxlT6dCf2YP0dA3vaGWJvh,"24th St & Martin Luther King Jr Way Oakland, CA 94612","(37.8207387, -122.2733758)",,
127,2018-10-24 18:30:31,4010.0,1.0,2.0,1.0,4.0,0.0,3.0,2.0,1,2.0,1,Auto repair/auto body shop,2.0,0,0,0,https://drive.google.com/open?id=1-T9Dn0iFZoTlOtLgqc-5LoaAE0ybwwI9,"707 39th St, Oakland, CA 94609","[37.829148016244, -122.269987153447]",,
128,2018-10-24 19:01:01,4028.0,1.0,3.0,1.0,3.0,0.0,3.0,2.0,1,1.0,1,Professional offices (doctor dentist lawyer accountant real estate),2.0,1,0,1,https://drive.google.com/open?id=1tfa0hTRvqo2S57ybsFol77uLR2JR-Lck,"604 20th St., Oakland, CA 94612","[37.81276, -122.268974]","[37.809083, -122.269945]",
129,2018-10-24 19:47:23,4217.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1.0,0,,2.0,1,0,0,https://drive.google.com/open?id=1PLqZzbo9X22-Q9H3XevqEm9liGnGmC9F,"1536 Oxford Street, Berkeley, CA, 94709.","[37.8801531, -122.267834688903]","[37.8800475889316, -122.268080621571]","[37.8797940540091, -122.268053533479]"
130,2018-10-24 21:54:00,4224.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0,2.0,0,,1.0,0,0,0,https://drive.google.com/open?id=1SZkny7SJgNDbHf4rnn37rAsQDtdzEfC-,"1912 Francisco St. Unit B, Berkeley, CA 93704","(37.8752396, -122.2695878)",,
131,2018-10-24 22:29:18,4229.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,0,1.0,0,"Community center, Parks, Post office, Professional offices (doctor dentist lawyer accountant real estate), Schools or daycare centers",2.0,1,0,0,https://drive.google.com/open?id=1LAfZPaTYqpQkh84WPBZeeJLkFdlhPOLy,"2180 Milvia St, Berkeley, CA 94704","[37.867462, -122.27004]","[37.8689254380936, -122.270983757155]","[37.8689254380936, -122.270983757155]"
132,2018-10-24 23:25:18,4212.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,0,1.0,0,"Fire station, Gas station, Parks, Playgrounds",2.0,1,0,0,https://drive.google.com/open?id=1fw-BB4084p0nqE0i8um01yjbsEXmXEWx,"Indian Rock Avenue, Berkeley, CA","[37.8891892, -122.2750742]",,
133,2018-10-25 03:34:11,4239.01,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0,2.0,0,,3.0,0,0,0,https://drive.google.com/open?id=1QRya5GkWB5YW7yPv7v3Hea96K6cbq1v1,"3004 Wheeler Street, Berkeley, CA, 94705","[37.8546447786376, -122.264323100601]",,
134,2018-10-25 14:31:03,4031.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1,2.0,1,"Eating places/restaurants, Liquor stores or Marijuana Dispensaries",2.0,0,0,1,https://drive.google.com/open?id=1-_5b96lktDSF9UFamgX7ytuINian9KwV,Clay Street,"[31.6054193, -85.0496448]","[38.442417, -78.849657]",
136,2018-10-29 12:40:23,4214.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,0,2.0,0,,3.0,1,0,0,,,,,
137,2018-10-29 15:00:33,4235.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1,2.0,1,"Auto repair/auto body shop, Eating places/restaurants, Manufacturing",2.0,1,0,0,https://drive.google.com/open?id=1MMV75s0EFTOwTkJ4PMq_D8bdWlC4SYXh,"2609 Shattuck Ave Berkeley, CA 94704","(37.859365, -122.2680467)",,
138,2018-10-29 15:54:25,4014.0,1.0,3.0,1.0,3.0,0.0,5.0,3.0,0,3.0,1,"Playgrounds, Schools or daycare centers",2.0,0,0,0,https://drive.google.com/open?id=1TO0knZswjDaSmoKYcaRMW14ogjlUbKAy," 890 Brockhurst St, Oakland, CA 94608","[37.8229113600273, -122.274687080118]","[37.8231398727818, -122.274933398321]","[37.822716, -122.273104]"
139,2018-10-29 17:46:32,4205.0,1.0,2.0,1.0,2.0,0.0,3.0,2.0,0,2.0,1,"Community center, Eating places/restaurants, Professional offices (doctor dentist lawyer accountant real estate), Schools or daycare centers",2.0,1,0,0,https://drive.google.com/open?id=1pWJKCPCQFKHLB6cklQOqYfj3DqHtEtRM,"920 Talbot Ave, Albany, CA, 94706","[37.8881701647239, -122.294765455248]",,
140,2018-10-29 19:54:05,4033.0,1.0,4.0,1.0,4.0,0.0,1.0,2.0,1,1.0,0,"Community center, Schools or daycare centers",1.0,1,0,0,https://drive.google.com/open?id=1XWkFxImmI1bUdqorDuXNarkkXmT_7GoG,"79 10th Street, Oakland, CA 94607","[37.798409, -122.26445]","[37.797243, -122.263706]","[37.798409, -122.26445]"
