Is there public transportation available in the block face? ,"On a scale of 1 - 4, where 1 is ""No fencing"" and 4 is ""High mesh fencing with barbed wire or spiked tops"", is there fencing and what kind? (includes all property)","On a scale of 1 - 4, where 1 is ""Very well kept / good condition"" and 4 is ""Poor / badly deteriorated condition"", in general, how would you rate the condition of buildings on the block face? (includes residential buildings, recreational facilities, manufacturing plants, business / industrial headquarters, etc)","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"",  how many cigarette or cigar butts or discarded cigarette packages  are on the sidewalk or in the gutters? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"",  how many condoms are present on the sidewalk, in the gutters, or street of block face? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"", how many empty beer or liquor bottles are visible in streets, yards, or alleys? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"", how much garbage, litter, or broken glass in the street or on the sidewalks? ","On a scale of 1-3, where 1 is ""Few or none"" and 3 is a ""Most/all of it"", how many trees are linking the street of the block face? ","On a scale of 1-5 where 1 is ""Friendly Responses / Greetings / Helpful"" and 5 is ""Treated with Suspicion"", How were you regarded by the people in the block face?",Other thoughts or comments for Image #1,Other thoughts or comments for Image #2,Other thoughts or comments for Image #3,Other thoughts or comments for Image #4,Other thoughts or comments for Image #5,Timestamp,What kinds of establishments are there on the block face? Select all that apply.,Census Tract
0,3.0,2.0,2.0,1.0,1.0,4.0,2.0,5.0,This was the only modern/nice house (to me) on the block which made it stand out a lot. ,"This board was interesting because you don't usually see things like this in neighborhoods. I thought it was cool that people living around here are able to post flyers about different things. This is a good way to announce things, but could also be bad because it could mean that these people don't talk or spread news in person. ","I chose to take a picture of this house because through the windows (although you may not be able to see in the picture) looked looked like there wasn't much in there. It didn't look abandoned, but also not like there is every day life in there. Also, the back yard of this house look boarded up. ","This park was directly behind the street I chose to observe. This park unlike the street, was full of homeless men. Most of which were African American and on Delaware there were only old white folks. ",,2018-10-23 21:11:05,Parks,4224.0
0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,,,,,,2018-10-23 21:13:32,"Bodega deli corner-store convenience store, Eating places/restaurants",4202.0
0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,This house is one of the diverse homes in block and is one of the decent looking homes in contrast to the rest. However there were a few other homes that were slightly in better condition but did not represent the neighborhood well.,This is part of the fence to the school and playground. The fence is spiked at the top and is well over ten feet high with an old sock hanging between the bars. Most of the homes have fences over six feet in height. ,Graffiti on a parked commercial truck. This truck possibly is parked without a proper permit. ,"
825 Brockhurst St. Emeryville,CA 94608
","
825 Brockhurst St. Emeryville,CA 94608
",2018-10-23 21:18:34,"Liquor stores or Marijuana Dispensaries, Playgrounds",4014.0
1,1.0,3.0,3.0,1.0,1.0,4.0,3.0,2.0,"The first store you can see in this image is a liquor store on the San Pablo Ave. Overall, San Pablo Ave is fairly clear than any other streets on my block. I was able to find various kinds of people on this Avenue. For example, children with parents, teenagers who're riding skateboard, and college students.","As you can see through the image, there is a theater, cafe and Japanese restaurant. I would like to say this street is mostly dense and I saw many people are hanging out on this street. Also, it is on the Solano Ave which tended to be the main street in Albany city.","This is a picture of a parking space on the back side of the Mechanics Bank. The Mechanics Bank is located in the intersection between San Pablo & Washington Ave. The parking lot is located in the intersection between Washington & Kains Ave where I took this picture. However, I was able to find people who were loud enough to hear music in their cars and people who smoke on the Washington and Kains Ave.",This is a picture that shows people who smoke in the Mechanics Bank parking lot.,,2018-10-23 21:32:03,"Banks or credit unions, Bars and alcoholic beverage services, Eating places/restaurants, Liquor stores or Marijuana Dispensaries, Professional offices (doctor dentist lawyer accountant real estate)",4202.0
0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,"The Toyota dealership did have some sort of censored lighting. This is also the only other establishment located on the block. Also, like the audio business, there isn’t any clear separation between the business and the sidewalk. The back of this dealership is the parking lot for the electronic business. ","One of the two electronic businesses on the block I analyzed, there are no types of physical barriers between the business and the street. Also, the lights were not censored, and were on the entire time. To the left of the business is a large apartment, of roughly 6-8 units. ","We can see plenty of trees that have yet to be trimmed. There is also an apartment complex on the left side. The street is almost completely clean if we discount the leaves and brush. Also, a relatively well-maintained classic VW Beetle.",,,2018-10-23 21:45:10,Auto repair/auto body shop,4235.0
0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,I thought it was pretty nice that there was a free mini library in front of a house for anyone to leave a book or take a book. ,There was a house that had a political sign out in front showing that there are folks who are politically aware of the local politics. ,This house had Halloween decorations on its window which could indicate that it is a family neighborhood ,,,2018-10-23 23:23:27,"Parks, Playgrounds",4201.0
1,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,,,,,,2018-10-23 21:59:18,"Auto repair/auto body shop, Bodega deli corner-store convenience store, Eating places/restaurants, Liquor stores or Marijuana Dispensaries",4007.0
0,1.0,3.0,4.0,1.0,1.0,4.0,1.0,4.0,Lots of trash gathered along curb of sidewalks.,Many stores left out their trash outside on the sidewalk.,"Reveals some thought, time, and effort has been put in to making the street look nicer.",,,2018-10-23 22:20:02,"Banks or credit unions, Eating places/restaurants, Supermarkets/grocery stores",4030.0
0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,This images shows a double-floor house with a drive way. There is a orange cone in front of it because there is remodeling happening next to it.,This house shows the residential unit owning two cars. One car is parked on the drive way and the other one is parked on the street.,The two-way road with cars parked on both sides and the trees on the sides.,The freshly painted bike lane on the cross street Marin Ave.,,2018-10-23 22:19:16,Schools or daycare centers,4205.0
1,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,I love how they have the cat made out of wood. It looks like its guarding their house.,"I also love this dog, that is on the other side of the house. ",,,,2018-10-23 22:22:04,"Eating places/restaurants, Fast food or take-out places, Supermarkets/grocery stores",4005.0
0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,There was construction on a street ahead and you saw the majority of the street lined with signs indicating road work. ,There were very few houses decorated for Halloween so I found it interesting how simple yet cute they decided to decorate. ,"I thought it was an interesting mix of social activism and Halloween decorations with the skeleton hidden in the bushes. Overall, I was impressed with their tact and glad they stood for the rights of everyone. This was taken at the intersection of Neilson St and Terrace St but was facing Neilson St, despite what the address says. ",,,2018-10-23 22:48:00,"Parks, Playgrounds",4206.0
1,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,"Though this only one example. I saw over a dozen Prius hybrids on this one block, indicating this Could be a environmentally aware neighborhood.","Even though this seems to be a fairly affluent neighborhood, the roads still have some erosion and damage.",U,"This neighborhood is definitely liberal leaning, or at ast those are the only ones posting signs. ",,2018-10-23 23:29:08,,4214.0
1,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,"Cars parked on the side of the street on the meter parking area. Since the street is wide, it allows for cars to be parked next to each other instead of behind each other. This allows for more cars. Parking area is full and people usually park there for a while. 
","Wide street allows for small recreational areas with some seats. There can be observed some leaves on the ground as well as some trash, mostly papers. This spot is located next to a street parking area. It is interesting that this little place was not allocated for parking. ","Tree adorned with Christmas lights like most of the trees on this street. I’d be interesting to know since what time of the year the lights were put on the tress. 
","This bike rack is another example of the amenities of this wide street. It is very convenient to have a bike rack on this street since there are many businesses here and a lot of people ride their bakes when going downtown. There were not any bikes there when I was there, but I am sure people secure their bikes there. ",,2018-10-23 22:37:16,"Banks or credit unions, Bars and alcoholic beverage services, Eating places/restaurants, N/A",4229.0
0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,"Tree tangled in power line
"," Area of block containing abandoned industrial building
","Portion of block consisting of residential buildings
",,,2018-10-23 22:49:13,Auto repair/auto body shop,4235.0
1,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,"Two Home across the street from each other: one looks newly remodeled or recently constructed, while the other seems older and a little rundown. ",Abandoned refrigerator on the sidewalk in front of a house.Do not know if it belongs to the residents of the house which it is in front of.,On the corner of the block was an abandoned building that had graffiti writing all around the perimeter. It seemed as if it had been closed down for a while. ,Found a stray cat eating from two boxes of pizza that were almost completely full. Pizzas were left on the sidewalk. ,Outside of what seemed to be a small apartment complex I found more than 6 full trash cans on the sidewalk. Some seem to have been unable to shut due to level of trash.,2018-10-23 22:55:25,,4014.0
0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,political message,graffiti sign,political participation,graffitti ,free books. proof of safety,2018-10-23 23:39:25,"Parks, Playgrounds",4212.0
1,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,Car with recently smashed windows,Mural on public library,"American Indian Model Schools building, indication of diverse locality","Trash can, overflowing but not interfering with foot traffic. Likely emptied the previous morning, not on a Sunday morning yet. Maintenance workers on strike perhaps?",,2018-10-23 23:44:07,"Banks or credit unions, Bars and alcoholic beverage services, Bodega deli corner-store convenience store, Community center, Eating places/restaurants, Public library, Post office, Schools or daycare centers, Warehouses",4033.0
1,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,"C.H.O.R.I ( Children’s Hospital Oakland Research institution ) it is a biomedical research institute affiliated with California’s pediatric medical center, whose mission is to research problems that threaten the health of children and educate those who work to solve these problems.","North Oakland Senior Center, it offers a variety of services, social and recreation programs to meet the needs of senior people, such as Travel Program; Special Events: Fundraising Flea Market, Holiday Party, Monthly Birthday Lunch; Dancing; Group Walking Program; Classes: Computer, Exercise, Art, Aerobics, Yoga, Tai Chi; Food Services and so on.",There is a lot of stuff here for toddlers and older infants. That includes the playground equipment but also things like a toy truck and high chairs. There is shade and a flower garden. The stuff is not in the best condition but none of it is dangerous.,,,2018-10-23 23:45:03,"Parks, Playgrounds",4007.0
0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,"This block is a part of the scenic route of Old Oakland. Beautifully old, upkept architecture lines the block. This block seems out of place compared to the environment around it and seems more geared toward tourists.","These are decorations put up for Dia de Los Muertos which occurs from October 31st to November 2nd. There are Stickers of flowers on the ground as part of the ideology for Dia de los Muertos. This part of Oakland is very close, a mere 4 blocks from China town, so while the other streets have mandarin signs this street does not and is celebrating a Hispanic tradition.","There is a lot of open space for outdoor seating, however, there are only a few tables out. All the stores are expensive and cater to Hipsters with unique shops with a mix of the surrounding area. There is an immigration law firm, a family program building with many clothing shops and bars around. The neighborhood feels almost otherworldly and idealistic in comparison to the surrounding area with its pristine glass, and cleanliness.",,,2018-10-24 00:03:06,"Bars and alcoholic beverage services, Eating places/restaurants, Professional offices (doctor dentist lawyer accountant real estate), Supermarkets/grocery stores",4031.0
1,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,"I really liked seeing this quote on the block.  It really made me feel that the people there really valued the street life there, although it didn’t feel as if there was that much.  This combined with the plentiful amount of neighborhood watch signs made the place feel like a safe place to live.  I was kind of sad when somebody graffied over the name of the person quoted.","The support for the telephone poll was covered in stickers.  Although it could very well have been just one person’s artistic expression, the possibility that it could’ve been a collective effort made me appreciate the subtle yet ever-present spirit of the neighborhood. ","A public notice from the city informing the neighborhood about the renovation of an old house.  The layout and design of the house is posted, along with general notes.","This was one of the may places in which graffiti on it.  I didn’t see any on the houses, but any abandoned places, along electrical boxes and telephone polls generally had graffiti.",,2018-10-24 00:06:50,"Auto repair/auto body shop, Liquor stores or Marijuana Dispensaries",4010.0
1,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,No front yards.,Poorly maintained pavement.,Small amount of visible trash/litter.,Kid-friendly. Visible crossing signs,Rich backyard activity.,2018-10-24 00:07:49,"Playgrounds, Schools or daycare centers",4214.0
1,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,"I did not get a chance to see the other side of this building, which I am assuming is the front side and maybe had better presentability. The side pictured is the side facing Shattuck Ave and it seemed like the graffiti may have been there for some time. ","Although I am not completly sure, it seemed that there might be some units in use perhaps, because of open windows and curtains. The building seemed really old and maybe unkempt.","Such as in this picture, it seemed to me that a lot of the corner intersection in my area were where the garbage seemed more concentrated","There wasn't much action during my time there, but I did notice that for being a car services shop, the area surrounding the fence and inside looked pretty clean ","Although it is not shown very clearly in the photo, the shop was closed during the time I was there and the front was locked off with a metal fence",2018-10-24 09:25:35,"Auto repair/auto body shop, Eating places/restaurants",4006.0
0,3.0,3.0,5.0,1.0,3.0,4.0,3.0,3.0,This is a picture of an empty lot found at the end of 32nd St. near Market St. It has an example of some of the graffiti found in the area. ,This is a picture of the one commercial building found on the street. There was construction being done on it the day I made my observations. ,This is a picture of a neighborhood watch sign posted on the street.,This is a picture that illustrates the juxtaposition of pleasant foliage and trash on the street.,,2018-10-24 00:22:47,Supermarkets/grocery stores,4014.0
0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,Decorations for Halloween in the front yard,The statue of Maitreya Buddha outside the front door,Sign for “Albany Stands United Against Hate”,,One residential house in good condition,2018-10-24 00:47:54,,4201.0
0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,"The bin and the sign is printed with graffiti, which makes the sign sort of unclear for people who really using it. ","It is a performing tent that is under construction, I think that provides lots of entertaining experience to the residents nearby, but it may also brings noise at the same time.","There are some stickers and graffiti on the traffic light, it makes the block looks less clean and safe. ","There is word graffiti on the light, which is the property of the apartment, it may make the resident concern about the safety.","The electric scooters all lay down on the street, it makes me wonder if there is lack of the rental station or people are being disrespectful and just put it on the street.",2018-10-24 11:32:54,"Eating places/restaurants, Parks",4028.0
0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,,,,,,2018-10-24 00:53:13,"Eating places/restaurants, Fast food or take-out places, Parks",4224.0
1,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,Ocean View Park across from the block,"Very clean street, little to no visible garbage or uneven pavements",Aesthetic is the typical residential block ,,,2018-10-24 00:53:41,,4204.0
1,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,This was a very cute bird feeder set-up that was on one of the trees outside a home. I don't think one of these bird feeders would have lasted in Berkeley (not that there's any trees to put it anyway).,This was a heart-shaped rock lawn. A lot of the lawns here were very well-kept and fairly big.,Many of the fences to the home's backyard had elaborate fences/gates such as this one.,"I spotted many political signs on the front lawns of homes. As I was taking this picture, the owner of the home smiled and exclaimed ""yaaay!"" (She was probably thinking that I would post the picture in support or something.)  Another thing to note is that a lot of the signs were for the same candidate.",I was surprised to see a gas pipeline going through this neighborhood. (It was very loud.),2018-10-24 01:06:53,"Community center, Eating places/restaurants, Fire station, Public library, Post office, Schools or daycare centers",4205.0
0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,On the corner of Napa Avenue lies Epworth United Methodist Church with the LGBT pride flag waving. ,Signs exhibit the owner’s views on social justice issue such as immigration. ,"On this particular side of the block, the front yards 
of the residents appear more maintained in comparison to the other side.
",Posters captioned: “We All Belong Here We Will Defend Each Other” “Everyone is Welcome Here” which highlight Berkeley's progressive political views.,,2018-10-24 09:08:59,,4214.0
0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,"This image shows a large building that seems to be either a large house or a duplex. This block was a residential block with houses, apartments and duplexes. ",This image depicts a nicely decorated house for the upcoming Halloween holiday. This may reflect the moderate affluence in this particular neighborhood because this family has available income to allocate to seasonal decorations.,"This image represents the cleanliness of this area. Because I went to observe this census tract quite late at night, there were not people in the area. ",,,2018-10-24 01:03:26,,4202.0
0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,"Photos of the community gardens at Memorial Park in Albany, CA","Recreational facilities at Memorial Park: enclosed playground for toddlers (top), resident exiting dog park (middle left), public grill/fire pit area (middle right), families gathered at large play structure (bottom)","Waste management/vandalism: (top) graffiti on a table near the enclosed playground; (bottom - left to right) a grill pit filled with litter, waste management compost bins, one of several trash/recycle/compost containers surrounding the playground","KISS: Kids Speaking Spanish, a Spanish-immersion pre-school program. ",One of several houses on the block that displayed political signs on their property.,2018-10-24 01:41:32,"Parks, Playgrounds, Schools or daycare centers",4201.0
0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,"Because the library was surrounded by county and official buildings, the conditions of the block face was well-kept and fairly calm.",This was the only religious building in the area. Its Chinese writing coincided with that of the street signs.,This was across the street from the church. Fence was not too high but barbed wire was surprising to see in this particular spot.,Located outside the Alameda County Clerk-Recorder office building. Cigarette buds could be caused by those working in this building.,Located across 12th st. Upkeep shows consistency.,2018-10-24 01:55:42,Public library,4033.0
0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,It demonstrates the many cars and trees on the sidewalks. ,This photo shows graffiti and lesser trees than the rest of the block. ,"We can see this house has a wheelchair sign, showing care for the disabled. ","There is a person and nice houses, showing an affluent neighborhood. ","There seems to be some sort of a shed, and there is also a motorbike, a rare sight in Berkeley. ",2018-10-24 01:56:33,"Manufacturing, Supermarkets/grocery stores, Warehouses",4239.01
0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,Only building under any visible renovations. ,The only house with visible Halloween decorations. ,Example of a duplex on this street. ,,,2018-10-24 02:10:54,,4006.0
0,1.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,"This is the side of the block going towards 11th Street where you can clearly see the newer buildings. However, you are also able to see the difference in blocks with the trash that is located on the block I have chosen.","This is the block that faces the street I have chosen. There is a park area open to the public, and it is mainly being used by older male individuals as smoking spot although there is a playground present right next to them.","This is the block going towards 10th Street. As you can see, there are renovated apartments. This is just a 10 step walking distance away from my block and there is a large difference in the living conditions of the people on these blocks. ",This is a picture of the gutters of the block I chose. You can see that there are condoms on the floor along with cigarrete buds and other trash. The whole block has trash like this. ,"With this picture, you can see how “poorly” maintained the building is in the sense that it has lots of graffiti on it. You can also see how it is apartments on top of businesses, but they look nothing alike to the buildings surrounding it. ",2018-10-24 02:15:37,"Eating places/restaurants, Parks, Playgrounds",4031.0
0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,Found these signs at the entrance of the park ,Found several houses with this sign in their yards ,Graffiti was found on almost every bin in this area ,,,2018-10-24 02:19:50,,4212.0
0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,"The street was actually pretty nice, no potholes or roughness. The lawns and areas around the block were also very neat yet in front of one house on the block, There was a huge pile of garbage. While I know what garbage can implicate as it is mentioned in the survey. It can imply a lack of ability or want to care usually within a poorer society- but this seems more like an anomaly like a garbage person dropping part of the house’s garbage without realizing. ","My main point in taking this specific photo is what it shows about the neighborhood, it is clearly a youth’s bike whether young 20s or a middle schooler. However, the importance comes with how the person left the bike. The bike was chained to the post with a fancier chain than the ordinary $5 one from Walmart which indicated a certain amount of wealth. The helmet was simply clipped to the side and things were left in the basket which implies a certain amount of trust in the area. I never saw the owner come back for her bike and even otherwise I wouldn’t be able to guess if she was a resident nearby. However, the bike itself was very indicative.
","This is a photo of the picture painted on the side of the bowling alley and while it was not on my block face, it was very clearly visible standing on the block face and looking across the street to the Bowling Alley on San Pablo, I found it interesting the statement that the owners and potentially the area is trying to make with the emphasis of “ since 2003”. A lot of areas strive for character and something personal and establishments that have been around for awhile tend to accomplish that. My city back home has a movie theater that has been around since the 20s, what it attempts to do is to take the current commercialization and add nostalgia which has economic and class implications in a comericalized, developed area. ",,,2018-10-24 02:32:08,"Auto repair/auto body shop, Eating places/restaurants",4202.0
0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,The houses were located on a uphill landscape so all the houses had 2 flights of stairs.,The opposing street was a park so it was not fully developed.,The area is a fire prone,,,2018-10-24 07:58:51,,4203.0
1,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,"I noticed this neighborhood is 100% residential. Many of the homes are single unit houses with their own lawn, driveway, and backyard. I also noticed a handful of local election signs on the street. The street was nice to drive down because there were a lot of trees on the sidewalk and mostly stop signs/almost no traffic lights. ",The house sizes range from large to small. This house was a smaller house I noticed and I thought this neighborhood might have been here for a long time from the architecture. I think smaller houses like the one in the photo are common back in the 1950s or 1960s. ,"This neighborhood had an overall well landscaped garden. There were a lot of plants, bushes, and tree everywhere which created a scenic route to walk within the neighborhood. I did not run into many people during my observations but I could hear kids nearby and maybe a school. ",,,2018-10-24 08:20:12,,4213.0
1,2.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,YMCA Daycare Center,Bus stop in front of the YMCA Daycare center,People walking their young children.,,,2018-10-24 08:40:16,"Community center, Eating places/restaurants, Schools or daycare centers",4203.0
1,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,This is the entrance of Marston Campbell park. To the left of it it is a charter school called Kipp Bridge Academy. In the background I noticed the semi high project apartments(Market st.).  On the opposite side of the camera are just normal individual houses,This is a drug store that stays open 24/7.,This is  Kipp Bridge Academy. A charger school for those of the neighborhood.,This is a Rec center where boys and girls can go play at. The center is normally very busy after school as kids wait for their parent to pick them up.,A liquor store that sits right across fork school grounds.,2018-10-24 08:55:10,"Bars and alcoholic beverage services, Community center, Fast food or take-out places, Gas station, Liquor stores or Marijuana Dispensaries, Parks, Playgrounds, Schools or daycare centers",4027.0
0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,"This was the only seemingly vacant house on the block, as all of the bottom floor windows were blocked off with wooden panels. The house also looks worn out and the steps look like they have not been swept in a long time. There are cobwebs accumulated along the edges of the mailbox. ","This is a picture of the front yard of the vacant house. The grass and greenery is mostly brown and dry, and looks like it hasn't been cut or watered in a long time. There is also a single, empty bottle of what looks like to be beer on the ground. The house is surrounded by wire mesh fencing. ","This image is interesting in that the house (duplex?) itself is in quite nice condition, except there are obvious indicators that they want to be protected from intruders. Along with the ""BEWARE of DOG"" sign, there seems to be a bell attached to the wire mesh gate, which would ring if anyone tried opening the gate. There is also a security system installed as indicated by the Bay Alarm sign.",This sign was the only piece of political propaganda on the street. Measure E supports the continuation of funding for Peralta Community Colleges and the allocation of funds towards academic over administrative purposes. Measure G supports the use of funds to upgrade old classrooms and other equipment for Peralta Community Colleges. What's interesting about this is the fact that whoever chose to put this sign up chose to place it here in this neighborhood.,,2018-10-24 09:46:58,,4007.0
0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,There were multiple political signs on the block. Most were on people lawns promoting candidates they would vote for.,"This is an image of the Berkeley School Early Childhood Campus. Walking into the block it seems mostly residential but, this school is hidden. Most of the students getting out of school were waling home with their parents as they live on the block.",This was one of the two establishments on the block. It was the first thing on the block.,,,2018-10-24 09:50:25,"Auto repair/auto body shop, Schools or daycare centers",4224.0
0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,"This car was extremely different from the one included in Image #2, but it was interesting how both of them were parked on this street. This implies that there could be a variety of people from different socioeconomic backgrounds living together on this street. ",This car is a fairly new BMW as opposed to the old Mitsubishi pictured above. This simply indicates the difference in taste and access to life chances among the residents of this street.,"This depicts a comparatively older house than the house pictured in the next image. As opposed to the cars, this simply shows a slight difference among people's economic abilities on this street. ","This house seems to be recently renovated and painted, as opposed to the house in Image #3. It's interesting to see such a difference among houses that are so close to each other.",,2018-10-24 10:29:46,,4201.0
1,2.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,"This Asian market on 10th street is where all locals could go to find all the imported Asian goods such as spices, foods, etc. ",Instead of graffiti the block was mostly covered with colorful murals that captured symbolic images of the Asian culture. ,There was not a lot of trash in the streets most wrappers and cigarette butts were found near a gutter or under this electric box. ,,,2018-10-24 10:34:46,"Bodega deli corner-store convenience store, Eating places/restaurants, Fast food or take-out places, Parks, Playgrounds, Schools or daycare centers, Supermarkets/grocery stores",4033.0
1,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,It is a residential area and most housing types are duplex. And there are grasses and other plants between the block face sidewalk and the unit.,There are many cars parking on both sides of the road. And over half of them are Japanese cars like Honda and Toyota. The road condition is not very well as there are many visible cracks on it.,"It is a Home Alert Neighborhood sign near the 57th block.
","Near the 57th, there are some wooden pillars with some personal notices on it. And there is no special places for residents to post personal notices.",,2018-10-24 10:58:26,,4006.0
0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,Luxury cars line the street,Trees line the block with houses set back,Some people stop and chat off the side of the road,,,2018-10-24 11:02:57,,4213.0
1,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,This Safeway Community Market and its parking lot takes up most physical space on the block. ,This is one of the three apartment buildings in this block. It has a small parking lot in the front. ,This Bank of America had a private security guard in the entrance. ,This was the only art gallery in the block. ,This US Post Office is the only government-owned establishment in this block. ,2018-10-24 11:03:10,"Banks or credit unions, Bars and alcoholic beverage services, Eating places/restaurants, Post office, Professional offices (doctor dentist lawyer accountant real estate), Supermarkets/grocery stores",4217.0
0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,This is the section of Ordway’s sidewalk under construction and is the only big project on an otherwise well-built street.,Different sections of the sidewalk along Ordway are of varying conditions. They are all generally walkable but newer portions with newer landscaping often contrast with older segments with more meagre efforts dedicated towards landscaping.,The facade of the two offices hosting two small business wrapping around the corner of Ordway and Solano. The size and color of the facade helps the businesses integrate well into the general appearance of the block.,A sign indicating that the sidewalk rehabilitation project was funded by Albany’s Sidewalk Parcel Tax.,"Ordway Street is generally, a generic street within a suburban area. It is highly residential, is well-paved, has trees lining the curbs, and is very clean, with no public eyesores.",2018-10-24 11:05:31,Professional offices (doctor dentist lawyer accountant real estate),4206.0
0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,across from an elementary school next to a duplex,"one of three duplexes, this one turned into a business. 
",shattered glass on sidewalk. this is taken on the other side of the school which is located on 10th st.,,,2018-10-24 11:06:57,"Professional offices (doctor dentist lawyer accountant real estate), Schools or daycare centers, Supermarkets/grocery stores",4033.0
0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,"There was a very small amount of tagging or graffiti found in the area, this picture shows an example of tagging that was found. ","Although it may seem insignificant and random, I took a picture of this box of cans because it was the only ""trash"" found throughout the block. Other than this box of cans and a couple of wrappers here and there, the block was very much clean.   ",This photo just shows the residential area of the block. ,,,2018-10-24 11:27:42,,4203.0
1,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,The conditions of the roads indicate both past neglect and a fairly recent repaving effort.,"Near the start of the walk, high trees and fencing separate these some homes from passersby. Some large homes (single or multi-residential units unclear) can be seen. ","The roads and pavement were notably cleaner with fewer cracks than at the start of the walk. While a number of well-kept residences line the block face, there are few to no physical barriers between private property and main sidewalks.",,,2018-10-24 11:20:45,,4217.0
0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,"Cafe/bakery called Sconehendge on the corner of Shattuck and Stuart, very cute restaurant with nice front ","Baskets hanging on the parking lot gate, potentially meant to be a small library for people to put books, some trash is in the basket","private home next to the bakery parking lot, lots of trees and very nice facade ","Parking lot for the restaurant, appears to be used tires in the building and graffiti on the wall ",Medical supplies store/factory - not very pleasing to look at but the facade is clean,2018-10-24 11:23:47,"Eating places/restaurants, Supermarkets/grocery stores",4235.0
0,2.0,3.0,4.0,1.0,4.0,4.0,1.0,4.0,Light industrial operation on the NW corner of the block. ,Residence at 949 Arlington situated next to light manufacturing lot on SW corner of the block.,Industrial building extending east on north side of the block. ,Commercial building with storefronts below and multiple dwellings above on the NE corner of block directly next to residence at 918 Arlington. ,Commercial parking lot situated between single family residences at 917 and 923 Arlington on south side of the block.,2018-10-24 11:24:40,"Fast food or take-out places, Manufacturing",4007.0
1,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,This is one of the last local landmarks in Oakland ca.,There was very little trash on the block and I wanted to show it near the gate.,This is an example of small businesses and apartments in the same shared space.,The lady working as a dog walker shows the gentrification in Oakland Ca.,This was the biggest tag in the area besides the fence covering a residential home.,2018-10-24 11:24:31,"Auto repair/auto body shop, Bars and alcoholic beverage services, Eating places/restaurants, Professional offices (doctor dentist lawyer accountant real estate)",4007.0
