,Unnamed: 0,Timestamp,Census Tract,"On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"", how many empty beer or liquor bottles are visible in streets, yards, or alleys? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"",  how many cigarette or cigar butts or discarded cigarette packages  are on the sidewalk or in the gutters? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"",  how many condoms are present on the sidewalk, in the gutters, or street of block face? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"", how much garbage, litter, or broken glass in the street or on the sidewalks? ", Are there abandoned cars in the neighborhood? How many do you see? ,"On a scale of 1-5 where 1 is ""Friendly Responses / Greetings / Helpful"" and 5 is ""Treated with Suspicion"", How were you regarded by the people in the block face?","On a scale of 1 - 4, where 1 is ""Very well kept / good condition"" and 4 is ""Poor / badly deteriorated condition"", in general, how would you rate the condition of buildings on the block face? (includes residential buildings, recreational facilities, manufacturing plants, business / industrial headquarters, etc)","Is there graffiti or evidence of graffiti that has been painted over on buildings, signs, or walls? (Questions 22-23)","On a scale of 1 - 4, where 1 is ""No fencing"" and 4 is ""High mesh fencing with barbed wire or spiked tops"", is there fencing and what kind? (includes all property)",Are any commercial/residential buildings being renovated?,What kinds of establishments are there on the block face? Select all that apply.,"On a scale of 1-3, where 1 is ""Few or none"" and 3 is a ""Most/all of it"", how many trees are linking the street of the block face? ",Is there public transportation available in the block face? ,Are private security guards visible?,Is there a police officer visible? ,Image #1,"Full Address of Block Face in Image #1 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Other thoughts or comments for Image #1,Image #2,"Full Address of Block Face in Image #2 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Other thoughts or comments for Image #2,Image #3,"Full Address of Block Face in Image #3 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Other thoughts or comments for Image #3,Image #4,Other thoughts or comments for Image #4,"Full Address of Block Face in Image #4 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Image #5,"Full Address of Block Face in Image #5 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Other thoughts or comments for Image #5,Image #1 coordinates,Image #2 coordinates,Image #3 coordinates,Image #4 coordinates,Image #5 coordinates
29,29,10/23/2018 12:22:15,4033.0,1.0,5.0,1.0,1.0,0.0,4.0,3.0,No,3.0,No,"Auto repair/auto body shop, Liquor stores or Marijuana Dispensaries",1.0,No,No,No,https://drive.google.com/open?id=10h5F8Rmn-HMspaKNzuh96aJOX-6gTbPX,"184 10th Street, Oakland, CA","Although rare, people are smoking on the street.",https://drive.google.com/open?id=1BehxPU-JHqsN_z_toEQspI1SMh-P9ee5,"184 10th Street, Oakland, CA",There are some nice street paintings here.,https://drive.google.com/open?id=1oBFqTypIjFOnzmzjDesdCXQtQTA48KTK,"151 10th Street, Oakland, CA","People nearby rely on Laundromat, which means most units nearby does not have in-unit laundry.",,,,,,,"[37.7985819897959, -122.265595163265]","[37.7985819897959, -122.265595163265]","[37.7984543673469, -122.265294122449]",,
30,30,10/23/2018 13:57:52,4205.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,No,1.0,No,,3.0,No,No,No,https://drive.google.com/open?id=1php9GYfSMr1BO2vbyeZ2LDPBjuZd18dR,"1009 Kains Avenue, Albany, CA 94706",This is one of the modern homes on the block. The front has a very modern and clean aesthetic and it is well kept. This home was the only house on this block with this type of style home. The rest of the homes on this block were also smaller and this home stood out to me. ,https://drive.google.com/open?id=1FhNSoFMeGjsGjQPIYsoe7bR8TNCG7fOr,"1017 Kains Avenue, Albany, CA 94706","This is an example of the apartment complexes on my block. The front area has vegetation and is maintained well with no garbage. The car in the front of the house is a Subaru, suggesting that these individuals can afford a good car.",https://drive.google.com/open?id=1AXyK3s5QKdwgR0rOAHmYUHOrGvoGBFby,"1002 Kains Avenue, Albany, CA 94706","This was the corner house on my residential block. There is no garbage or debris in the front of the house.  Also, the front lawn has roses, plants and a hose, suggesting that the occupants of this house take the time to garden. ",,,,,,,"[37.8865010290456, -122.296696782563]","[37.8862900580912, -122.296627565127]","[37.8866182457903, -122.296950730685]",,
31,31,10/23/2018 14:50:52,4213.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,No,2.0,No,"Bodega deli corner-store convenience store, Fire station, Gas station, Parks, Public library, Schools or daycare centers",2.0,Yes,No,No,https://drive.google.com/open?id=1QodcBBMUydZI5dRD0UzeAuwFP9hzfSFP,"1900 Hopkins St, Berkeley, CA, 94707","My thoughts about this image was that the city made considerable efforts to maintain biking lanes and upkeep traffic control in regards to these lanes. This makes me think that the city puts an emphasis on more ecological means of transportation. They city is also likely able to do this because they have the funds for it, and considering that there are several markets, schools, and convenience stores in this residential area, everything residence need is within biking distance, which is probably why the city (as well as its residents who are involved in city management and likely want to use/advocate for these biking lanes) cares to even do this. Unfortunately, I do not see this often in poorer communities. ",https://drive.google.com/open?id=1a9nf_CNK7uqR6LnQAhzxf4vXS8GTLJuC,"1198 Josephine St, Berkeley, CA, 94707","In terms of image 2, we see this street sign is not like any other. It is made from stone with the street name engraved at the top under a statue of a sphere. This work of art, especially just for a street sign, is not common among impoverished neighborhoods, where street signs may not even be present. This street sign is symbolic of the wealth of the city and its citizens, denoting that they have the capital to build such an aesthetic monument for such an ""average"" object.  ",https://drive.google.com/open?id=1FbZvtFHzinHvy-DjAIdYCDnvTNkTisLb,"1900 Hopkins St, Berkeley, CA, 94707","Across the street is a gas station, near the hub of the city. Unless most other gas stations in impoverished neighborhoods, this gas station is very well kept, not always super busy, and has seen some renovations in the past (I know because I used to stop there when I was younger). The business is obviously investing money into this specific station, likely to please their affluent customers/maintain the image of the area. The price of gas is fairly high. ",https://drive.google.com/open?id=1lX7BJFAiIX_wSlzEfbBNr6Yi5xPfgTWV,"Next to the Public Library, there is a park consisting of a big grass field and trees. The area looks very well maintained (Thick bright green grass and green flourishing trees) as apposed to parks I have seen in the inner city that are mostly dirt and dark green weeds. I saw many children who seemed to be a part of the after school program playing in the park with some adults. I could tell the staff and volunteers are very involved in the programs, and that the library is thriving. The park, as well as the surrounding area, was clean of all trash, even loose leaves. ","1170 The Alameda, Berkeley, CA, 94707",https://drive.google.com/open?id=1eNrpa8ejKJLi6r1AFnzXQtEKaWXtCWZ_,"1850 Sonoma Ave, Berkeley, CA, 94707","One of the biggest observations to be made was of the housing. The houses were significantly well kept, in terms of the house itself and the gardening/driveways. These houses probably go for $700,000 and up. You could tell it was a wealthy community. I didn't see much people, but the area was only somewhat diverse. ","[37.885301, -122.274867]","[37.88527, -122.275803]","[37.885301, -122.274867]","[37.8854336, -122.275411300825]","[37.8850761, -122.2759111]"
32,32,10/23/2018 14:59:13,4229.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,No,3.0,Yes,"Banks or credit unions, Bars and alcoholic beverage services, Eating places/restaurants",2.0,Yes,No,No,https://drive.google.com/open?id=1tVppOOGOEsE1g4HdIP1Pzwhpw3UaS7od,"2124 Bancroft Way, Berkeley, CA 94704",The construction unfortunately makes this block appear worse in quality that in reality. The sidewalk is blocked and the huge container both make the pedestrian experience disappointing.,https://drive.google.com/open?id=1nWmYxYWfOa1Y3vzjWTuDpBdvHDpN4FR3,"2321 Shattuck Ave, Berkeley, CA 94704",I really appreciate the beautification efforts with the lights on these trees. It makes the place feel nicer.,https://drive.google.com/open?id=1q_HUf7M-FsMB1jcryG8dt5tG3NrzI4QG,"2333 Shattuck Ave, Berkeley, CA 94704",This bank is very fortified. The entrance has a huge metal gate. It feels like a castle or a fortress of some sort. It was really awesome but also was indicative of serious levels of crime in the area.,https://drive.google.com/open?id=1x7pf31hzkbVIMfaPU_4i2tUI2uCvWwtA,At first I just thought this was a random pile of trash. I then realized that it was a pile of bags containing recyclables. Then I realized there was someone sleeping in the middle of it! That was the only homeless person I saw on the block.,"2113 Durant Ave, Berkeley, CA 94704",,,,"[37.867599, -122.267258]","[37.8672231204434, -122.26772462002]","[37.8670654391399, -122.267704217634]","[37.8667518421053, -122.266783157895]",
33,33,10/23/2018 15:15:07,4213.0,1.0,4.0,1.0,2.0,1.0,4.0,3.0,No,2.0,Yes,Eating places/restaurants,2.0,Yes,No,Yes,https://drive.google.com/open?id=19U9lUCfaGNNuyAdwjPNFfeWDp0PZ7DIy,"870 Peralta Ave, Berkeley, CA 94707","There were many cars parked on the block face but interestingly I did not see anyone walking on the street. I also found some cigarette butts, but I would say the street was relatively clean compared to other areas in Berkeley I have seen.",https://drive.google.com/open?id=1bXr-gtAEGjbuc3MDnTpgCbkTSjOLJq5d,"1553 Solano Ave, Berkeley, CA 94707","This picture is taken on one side of the block face, where there are business stores including a restaurant, clothing stores, digital printing service shop, etc. I noticed that there were only few people entering these stores while I was observing there, and the block face was really quiet overall. ",https://drive.google.com/open?id=1GR42XI9XK9Uom02SKFaRMXSQ4nxVrErR,"863 Neilson St, Berkeley, CA, 94707","I noticed by walking into this street from the block face that has business stores, there were marijuana joint butts on the street but not on the street with business stores. Also, I saw some adults walking but not children on the street. ",https://drive.google.com/open?id=1_1xD1wIidMcnPsGpolSAr6sqA4DpTRQ6,"The picture of Trump on the wall got my attention, so I was observing the area and people inside the house having a conversation. I noticed that they talked about politics and a very biased topic toward certain groups of people. ","821 Neilson St, Berkeley, CA 94707",,,,"[37.8917981116592, -122.285836396195]","[37.8910680772757, -122.285985259165]","[37.89163744244, -122.286513772363]","[37.8923111704176, -122.286485365867]",
34,34,10/23/2018 15:27:46,4202.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,No,2.0,No,"Community center, Eating places/restaurants, Playgrounds",3.0,Yes,No,No,https://drive.google.com/open?id=1nQcguvmxgmvKFYprt0KY64MrpwaxtKw4,"998 Ohlone Ave, Albany, CA 94706", Clean and light Traffic,https://drive.google.com/open?id=15RQLujLQvN2KVj8kBHrgKsznvg64nu8U,"301 Gooding Way Albany, CA 94706",Nice environment grass are green and fresh no trash on the side of street.,https://drive.google.com/open?id=1AVOQMTMdvoyoZarCG_mKiWtqExK1tU3n,"900 Ohlone Ave Albany, CA 94706",Parking area all cars nicely parked ,https://drive.google.com/open?id=142ReomPTn3NonWFSqPVpI3dreOlJXkvK,Garbage place doesn’t smell and overall looks clean! ,"Kinkead Way Albany, CA 94706",https://drive.google.com/open?id=1HXhCbdtmG7SNnEoM6pZdRSWn4d-t13HU,"Jackson St Albany, CA 94706",Bus stop for public transportation and also lost of parking spaces for residents and visitors,"[37.885591, -122.300428]","[37.8844615, -122.3015535]","[37.8854398885486, -122.301077936104]","[37.8841892, -122.3026891]","[37.8835598, -122.2999737]"
35,35,10/23/2018 17:34:16,4217.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,No,1.0,No,"Bars and alcoholic beverage services, Chain retail stores, Eating places/restaurants, Post office, Professional offices (doctor dentist lawyer accountant real estate)",3.0,Yes,No,No,https://drive.google.com/open?id=1r8TCm6REYvC4ix1qOmWvN8T0qacTwWwf,"1515 Shattuck Ave, Berkeley, CA 94704","People at Cesar on Sunday afternoon. This area is well known as Gourmet Ghetto, filled with fine restaurants",https://drive.google.com/open?id=1GsFi0IGzjiFv8Cf5K852-9D2GeC_hJy1,"2124 Vine St, Berkeley, CA 94704","A café on Walnut St, the opposite side of Shattuck Ave. People look very relaxing and enjoying the sunny weather.",https://drive.google.com/open?id=10b9rtU10oUVzS0dPfE6u7T12IRQTHXJf,"1521 Walnut St, Berkeley, CA 94704",Walnut street is composed with residential area providing stable and peaceful environment.,https://drive.google.com/open?id=1onwIHB9SVdy_5j0jKxZE4KgNpbw2Qvkn,"ery well-shaped small gardens, different environment from the opposite of the block: Shattuck Ave","1517 Walnut St, Berkeley, CA 94704",,,,"[37.8796544, -122.2690441]","[37.8802403, -122.268318]","[37.8798891426178, -122.26806357061]","[37.8799525350236, -122.26807026203]",
36,36,10/23/2018 18:08:22,4027.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,Yes,3.0,No,,2.0,No,No,No,https://drive.google.com/open?id=1iXvsdUDnilzhBtJfqu1LMzcyYRsGvj1u,"1807 Martin Luther King Jr Way，Oakland, CA",The paint on the house seems have peeled off. All the windows are closed and the garden was not taken care of. I assume it is an vacant house. ,https://drive.google.com/open?id=1UOnJ3_AsCX9-ZsSQQ3U87gue0uJa5Qdi,"635-689 19th St, Oakland, CA","This is a broken car with no license plate, I assume it is abandoned. ",https://drive.google.com/open?id=1XEflpcGkc68B7GV6xBfTatQeD0Sm1wJ2,"1830 Castro Street, Oakland, CA ",This is a 3 story apartment with parking space on its first floor. ,https://drive.google.com/open?id=1EIngViE7vogbQ7BABmrZPjK7frrrU7Gy,There are graffiti on the garbage bin and it is over filled. ,"1812 Castro Street, Oakland, CA ",https://drive.google.com/open?id=1CJXta4sTTWirf8n3uM0VR8krNUgjdWH9,"1872 Martin Luther King Way, Oakland, CA 94612",The church stands out from the average residential block. ,"(37.8103872, -122.2769914)","(37.8103872, -122.2769914)","[37.8096855714286, -122.275176816327]","[37.8097704285714, -122.275119326531]","(37.8103872, -122.2769914)"
37,37,10/23/2018 18:33:52,4010.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,Yes,2.0,No,,1.0,Yes,No,No,https://drive.google.com/open?id=1fKx3SRxYpjrpTJi-P-AiiiHfXig_yjuj,"1000 Market Street, Oakland, CA, 94608",It would be easy to write a graffiti in the area because there were only a few people even during daytime.,https://drive.google.com/open?id=10BDJmOi4fqyID3ydi1kAoi0ySbkDcCCu,"1000 Market Street, Oakland, CA, 94608",I could see that people tend to speed up around the area because the view is open.,https://drive.google.com/open?id=1sKpDs3pRV0DPWz5dW2GHFXls_WG5H0sO,"1000 Market Street, Oakland, CA, 94608",This was the only construction site I saw. I presume that there are not many newly made houses there.,,,,,,,"[37.8444441, -122.2751641]","[37.8444441, -122.2751641]","[37.8444441, -122.2751641]",,
38,38,10/23/2018 19:53:32,4005.0,2.0,1.0,2.0,2.0,3.0,5.0,2.0,No,1.0,Yes,,3.0,No,No,No,https://drive.google.com/open?id=1DDDtscjIJAzPhKXm1oj_bIS7fZuw43mz,576 63rd Street,Apartment Building #1,https://drive.google.com/open?id=1rKLK4SH6ojHfr7ZbCgrBGg1KyFzpEnAN,594 63rd Street,Apartment Building #2 ,https://drive.google.com/open?id=1kfjLIhH05MW8NMJ8zbS5Id1vUcUCZHo9,6300 Shattuck Avenue,Apartment Building #3 ,https://drive.google.com/open?id=1eTUBgj_2ikM1LgclNIWx3oYzCLD4spAR,Neighborhood Watch,None,https://drive.google.com/open?id=1dPnXlOwIuICMos-hHT6z7dN6kLGwWx0d,597 63rd street,Car ,"(37.8485167, -122.2647445)","(37.8485167, -122.2647445)","(37.8485167, -122.2647445)","[44.933143, 7.540121]","(37.8485167, -122.2647445)"
39,39,10/23/2018 20:00:48,4005.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,No,1.0,Yes,,3.0,No,No,No,https://drive.google.com/open?id=1I7zmNvYLGJZGIRn3q-6Aklq_l6w7djkA,"544 63rd street, Oakland, CA, 94609",Image of a house on the block with a young white couple walking in front of it,https://drive.google.com/open?id=1HlED1ZAhYuqfWBsjzYblO7NGGGWXHW9K,"548 63rd street, Oakland, CA, 94609",Image of a house on the block which is getting remodeled,https://drive.google.com/open?id=1qCOj5IPwkkTXl1z36B9TrELbPscmNN4R,"569 63rd street, Oakland, CA, 94609",Image of a house with an electric ramp for wheelchairs,https://drive.google.com/open?id=1F9XJExLWX9A6lICjJlRQvkdNIp012fA1,"590 63rd street, Oakland, CA, 94609",Image of a house on the block with one of the worst yards,,,,"[37.84904, -122.262864]","[37.8490143422947, -122.263056605375]","[37.8487297353552, -122.263930197679]","(37.8485167, -122.2647445)",
40,40,10/23/2018 20:19:22,4212.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,No,2.0,No,"Parks, Schools or daycare centers",3.0,Yes,No,No,https://drive.google.com/open?id=1OaPDYtR341O-qLB8jV_ioZBVv1he0vrW,"2300 Marin Ave, Berkeley, CA 94708",An image advertising a read-a-thon at the elementary school,https://drive.google.com/open?id=103fJEc8pditvGzQp0_bQxk3eeVbGNS5s,"900 Spruce St, Berkeley, CA 94707","A home decorated for halloween, indicative of a family oriented neighborhood ",https://drive.google.com/open?id=1_HVwGlGJ7RrQqt9kQm0Fz9IpY9PGGsR0,"898 Spruce St, Berkeley CA 94707",One of the few homes on the street that had a gate. ,https://drive.google.com/open?id=10Xkvop1_rXurOhZQDntj0getznMKwh1Y,The west side of the street did not have sidewalks or they were very narrow. ,"898 Spruce St, Berkeley CA 94707",,,,"[37.893145, -122.26755]","[37.8929323, -122.2677205]","[37.8931667, -122.2679442]","[37.8931667, -122.2679442]",
41,41,10/23/2018 20:27:26,4027.0,2.0,2.0,1.0,2.0,0.0,3.0,2.0,No,1.0,No,,3.0,No,No,No,https://drive.google.com/open?id=1LK3VZLQidNRh0bc_kUPdjsthDqdyk0lU,"1505 West St Oakland, CA 94612","A rather out of place building with “no parking” signs all along the garage, yet cars parked directly in front of it.",https://drive.google.com/open?id=15WVRML96XtKK9qefzErX3Ua3cHRLv0mk,"809 15th Street, Oakland, CA, 94607",The residential housing which seems rather well maintained.,https://drive.google.com/open?id=1wPA3wKkYaSEpkx3He8kA5pAzivzQEkH-,"809 15th Street, Oakland, CA, 94607","A very small amount of litter present in the curb, but the sidewalks are clean. ",https://drive.google.com/open?id=1IAvxxRNWv8aULx32VM4NpCA0UGfUzzYE,Roads in fair condition and trees growing on both sides of the road.,"809 15th Street, Oakland, CA, 94607",https://drive.google.com/open?id=1PZRltjlxJ-aG3CR71qKEIchYL97JhGfX,"820 15th St Oakland, CA 94607",An apartment complex that seems to house around 10 people. ,"[37.8084353566681, -122.279126934358]","[37.8085110007666, -122.279949391343]","[37.8085110007666, -122.279949391343]","[37.8085110007666, -122.279949391343]","[37.8086238632237, -122.279769915955]"
42,42,10/23/2018 20:33:02,4010.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,No,3.0,Yes,Professional offices (doctor dentist lawyer accountant real estate),2.0,No,No,No,https://drive.google.com/open?id=1kWLo95-m5LNP3irHiBf6WeNSawaHQa7t,"934 41st Street, Oakland, CA, 94608","The street is filled with contrasts. Both old and new, well kept and not kept up at all. This image captures the occasional garbage on the road, but also small gardens that are maintained. Present in the picture is also a garbage can for organic waste, and as I walked past what appeared to be the owner of the house talked to the hired gardener. A street with litter, but some bushes perfectly cut. ",https://drive.google.com/open?id=1A1KX4dyxQcqProifhAbhpiiIwgWBvpmW,"989 41st Street, Oakland, CA, 94608","While the street was mostly quite clean, there were some empty vodka bottles. Not particularly good vodka either if you ask me. ",https://drive.google.com/open?id=1c_wx90BcJHw_0ZOzIdGC1H08N7QMvuCB,"964 41st Street, Oakland, CA, 94608",A lot of construction/rehabilitation of apartment buildings went on in the street.,https://drive.google.com/open?id=1wv-Oa4jYHElOnZn4VpLs77R8ME5tuVEn,"Some apartment buildings appeared very new, contrasting the more worn out ones with partial paint jobs and rusty fences. ","1000 41st Street, Oakland, CA, 94608",https://drive.google.com/open?id=1tvCdojCHMTjPcFBKO2tAd49RAVIFIMSi,"1000 41st Street, Oakland, CA, 94608",The building facing the modern apartment building. It houses a religious community.,"[37.8318057950396, -122.274715366617]","[37.8318423813677, -122.276123575366]","[37.8319139165447, -122.275436635432]","[37.83232, -122.277337]","[37.83232, -122.277337]"
43,43,10/23/2018 20:39:12,4028.0,1.0,3.0,1.0,2.0,0.0,3.0,2.0,Yes,2.0,No,Eating places/restaurants,1.0,No,Yes,No,https://drive.google.com/open?id=1--X3IERLpsSLoOKXwH6vDUFPPzILB9Or,"550 Fox Courts South 18th Street, Oakland, CA, 94612",This picture is of the apartment complex on the street. It looked white new and was also the only place on the block were trees were observed. They’re quite a variety of tree heights.,https://drive.google.com/open?id=1l6lbjtn3iVsK0lQ2_BCHr5xLtl2WZYkU,"~ 552 18th Street, Oakland, CA, 94612","The picture is of the end of the apartment complex and a sign that says directs the public to a cafe within a small alleyway beside the building. The fence was the area I saw the most tagging and graffiti on. This picture specifically shows multiple stickers on the pole of the fence.
",https://drive.google.com/open?id=17-R2qBqqNtOJb5Tr94K83fBin9J-pzWF,"530 18th St, Oakland, CA, 94612","This picture is of the other building on the street that was an art institute. It looked closed for the day and pretty empty. It was not in as good of a condition as the apartment complex was.
",https://drive.google.com/open?id=1vI8bKQyybYMLx2sYCxvMTAydZbeR_XF4,"This picture is of the large, open parking lot on the street. I believe it was public parking and that there was some sort of fee for using it.","555 18 St, Oakland, CA 94612",,,,"(37.8087183, -122.2715003)","[37.8097064, -122.2765137]","[37.8079236744261, -122.271813402555]","(37.8087183, -122.2715003)",
44,44,10/23/2018 20:42:19,4010.0,2.0,3.0,1.0,3.0,1.0,5.0,2.0,No,2.0,No,,2.0,No,No,No,https://drive.google.com/open?id=14Zi7pZYEeE5_-g-Lk2FoloPzgilLbWHg,"675 44th St, Oakland, CA","“Justice for Mike Brown” and “Justice for Eric Garner” posters hanging on the windows to demonstrate support for the injustices the community have faced in Oakland.
",https://drive.google.com/open?id=1ZjK54G04TYE_4PVGBSsV8wOsRexw-TwA,"737 44th St, Oakland CA","An empty liquor bottle of E&J lying on the curb in Oakland. This was the only liquor bottle that was on the ground.
",https://drive.google.com/open?id=1vjd6UN7ivaf__uQGAdtGt57WSuI_On5e,"729 44th St, Oakland, CA","One of the views of the street. Along this street, we can see houses, cars, “no parking” signs, trees, and “Black lives matter” posters.
",,,,,,,"[37.8329722350701, -122.268710584414]","[37.8330790140785, -122.269399386702]","[37.8330656179583, -122.26931044855]",,
45,45,10/23/2018 20:42:58,4201.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,Yes,2.0,No,"Community center, Playgrounds, Schools or daycare centers",3.0,No,No,No,https://drive.google.com/open?id=1Bk29OpfwsavlWOlSC0aEZKLprzz2yb7u,,Some abandoned stuff plus a rental bike on the sidewalk.,https://drive.google.com/open?id=1kPEBqDRijYVZcTubqp4jqKWvPPKRc3Fu,,Clean street with school in the background connected to the park.,https://drive.google.com/open?id=1OdNRTRyx_VoDBIgGsWFxFrLJgxwa6uFX,,Dry grass with mesh fencing around one yard and some graffiti on a stop sign.,https://drive.google.com/open?id=1L4A_JH9ISgrnfVgNcqUZ71sZB6m0i1F0,Political sign on dry grass and graffiti on a stop sign on an otherwise clean street.,,,,,"(37.8947731, -122.2910214)","(37.8947731, -122.2910214)","(37.8947731, -122.2910214)","(37.8947731, -122.2910214)",
46,46,10/23/2018 20:54:32,4206.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,No,2.0,No,Schools or daycare centers,3.0,No,No,No,https://drive.google.com/open?id=1zSkGA2hTxWqbOZlaOl0l7XPuwyAPymTx,N/A (Curtis St),House (among others) with Peggy McQuaid campaign yard sign.  ,https://drive.google.com/open?id=1FjRmhl_Lg9T4s7YkWk5cQ_0s-L1DR_iM,"N/A (Curtis St) - Address of Marin Elementary is 1001 Santa Fe Ave, Albany, CA 94706",Children playing at Marin Elementary during what is presumably recess.,https://drive.google.com/open?id=1hrm5rYJp9D551-eWlPgGkLXc7uJDjCp8,N/A (Curtis St),A sidewalk rehab sign on the side of the street. ,https://drive.google.com/open?id=1h4bQqNf4Z60ybzGl_BN7ZbNu80quHqYO,A relatively large two-story house on the corner of the block. ,N/A (Curtis St),,,,"[40.850112, -73.08208]","(37.8870336, -122.2870621)","[40.850112, -73.08208]","[40.850112, -73.08208]",
47,47,10/23/2018 21:11:05,4224.0,1.0,2.0,1.0,4.0,0.0,5.0,2.0,No,3.0,No,Parks,2.0,No,No,No,https://drive.google.com/open?id=1o13bUdAZt3k9FDtoO4o9BxlFFFKQxqI9,"Deleware Street, Berkeley, CA 94704",This was the only modern/nice house (to me) on the block which made it stand out a lot. ,https://drive.google.com/open?id=1t8fA8ZU55Y0785PX6KaCPRgmhp0GlaHV,"Deleware Street, Berkeley, CA 94704","This board was interesting because you don't usually see things like this in neighborhoods. I thought it was cool that people living around here are able to post flyers about different things. This is a good way to announce things, but could also be bad because it could mean that these people don't talk or spread news in person. ",https://drive.google.com/open?id=1pCtK6f-woINMzJ_N9hcck0YOnRrEZkkI,"Deleware Street, Berkeley, CA 94704","I chose to take a picture of this house because through the windows (although you may not be able to see in the picture) looked looked like there wasn't much in there. It didn't look abandoned, but also not like there is every day life in there. Also, the back yard of this house look boarded up. ",https://drive.google.com/open?id=1zv__wMm6NWzVsyT2IG4B0tf17HmEAYMD,"This park was directly behind the street I chose to observe. This park unlike the street, was full of homeless men. Most of which were African American and on Delaware there were only old white folks. ",,,,,"(37.8752396, -122.2695878)","(37.8752396, -122.2695878)","(37.8752396, -122.2695878)","(37.8752396, -122.2695878)",
48,48,10/23/2018 21:13:32,4202.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,No,1.0,Yes,"Bodega deli corner-store convenience store, Eating places/restaurants",3.0,No,No,No,https://drive.google.com/open?id=1EaeU-2GqfIHWo7f7-FEw8K-ry-PYTFj6,,,https://drive.google.com/open?id=1oLYd7Jg5REz4PvkjwdSeP5Z9BmrL2ZJC,,,https://drive.google.com/open?id=1r9KEUfg-G1697NRm4g6A1XR0gsXXXiSz,,,https://drive.google.com/open?id=1FVAhRkwpgvi-Ow_X6LHS-5ShMF7sGV3M,,,,,,"(37.8944611, -122.2974624)","(37.8944611, -122.2974624)","(37.8944611, -122.2974624)","(37.8944611, -122.2974624)",
49,49,10/23/2018 21:18:34,4014.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,Yes,4.0,No,"Liquor stores or Marijuana Dispensaries, Playgrounds",1.0,No,No,No,https://drive.google.com/open?id=1gJv2d6HVOUlBcwkUGlmrob92lr-qKeOv,825 Brockhurst St. Emeryville CA 94608 ,This house is one of the diverse homes in block and is one of the decent looking homes in contrast to the rest. However there were a few other homes that were slightly in better condition but did not represent the neighborhood well.,https://drive.google.com/open?id=1FafHhL9Tje2iTx4LhdOxtZUGrCFi8j6_,Hoover Elementary School Emeryville CA 94608,This is part of the fence to the school and playground. The fence is spiked at the top and is well over ten feet high with an old sock hanging between the bars. Most of the homes have fences over six feet in height. ,https://drive.google.com/open?id=1hMQC-iqBKCYIQvf7TG92gV5QXstuynrc,"825 Brockhurst St. Emeryville,CA 94608",Graffiti on a parked commercial truck. This truck possibly is parked without a proper permit. ,https://drive.google.com/open?id=1ZYHuw0GjQahyvrF9qkB_xjzRhAxRkNXj,"
825 Brockhurst St. Emeryville,CA 94608
"," 825 Brockhurst St. Emeryville,CA 94608",https://drive.google.com/open?id=1-LE6q-36aJ6LX5pnU3gOUJTVOm5z6nJ6," 825 Brockhurst St. Emeryville,CA 94608","
825 Brockhurst St. Emeryville,CA 94608
","(37.8207387, -122.2733758)","(37.8207387, -122.2733758)","(37.8207387, -122.2733758)","(37.8207387, -122.2733758)","(37.8207387, -122.2733758)"
